Entity,Code,Year,Annual change in primary energy consumption (TWh)
Brazil,BRA,1966,24.910522
Brazil,BRA,1970,67.55194
Brazil,BRA,1980,26.66748
Brazil,BRA,1990,-10.292725
Brazil,BRA,2000,102.146484
Brazil,BRA,2010,266.4485
Brazil,BRA,2022,154.19995
China,CHN,1966,133.11365
China,CHN,1970,516.5121
China,CHN,1980,55.708008
China,CHN,1990,101.8125
China,CHN,2000,414.21582
China,CHN,2010,1896.7109
China,CHN,2022,402.84375
India,IND,1966,18.962341
India,IND,1970,-16.69519
India,IND,1980,35.640015
India,IND,1990,157.2876
India,IND,2000,179.02539
India,IND,2010,258.45752
India,IND,2022,538.4678
Russia,RUS,1990,-179.72656
Russia,RUS,2000,127.552734
Russia,RUS,2010,292.3872
Russia,RUS,2022,-719.77344
Saudi Arabia,SAU,1966,3.1820374
Saudi Arabia,SAU,1970,13.192688
Saudi Arabia,SAU,1980,-46.92697
Saudi Arabia,SAU,1990,71.79175
Saudi Arabia,SAU,2000,59.44934
Saudi Arabia,SAU,2010,245.9685
Saudi Arabia,SAU,2022,205.77295
United States,USA,1966,807.66113
United States,USA,1970,622.41797
United States,USA,1980,-832.44336
United States,USA,1990,58.48047
United States,USA,2000,580.3203
United States,USA,2010,846.33203
United States,USA,2022,696.7461
