Entity,Code,Year,Deaths in ongoing wars (low estimate) - Conflict type: civil war,Deaths in ongoing wars (low estimate) - Conflict type: others (non-civil)
World,OWID_WRL,1800,0,2063
World,OWID_WRL,1808,1760,28899
World,OWID_WRL,1816,2460,2147
World,OWID_WRL,1824,1960,3231
World,OWID_WRL,1832,2364,0
World,OWID_WRL,1840,3713,1092
World,OWID_WRL,1848,8006,12114
World,OWID_WRL,1856,7599,40460
World,OWID_WRL,1864,40807,19154
World,OWID_WRL,1872,0,2892
World,OWID_WRL,1880,0,5064
World,OWID_WRL,1888,0,8000
World,OWID_WRL,1896,0,9976
World,OWID_WRL,1904,0,40516
World,OWID_WRL,1912,0,41794
World,OWID_WRL,1920,132712,25323
World,OWID_WRL,1928,26249,0
World,OWID_WRL,1936,50075,9448
World,OWID_WRL,1944,0,4469400
World,OWID_WRL,1952,0,135984
World,OWID_WRL,1960,0,0
World,OWID_WRL,1968,13103,118008
World,OWID_WRL,1976,5131,5000
World,OWID_WRL,1984,16527,25358
World,OWID_WRL,1992,19936,4666
World,OWID_WRL,2000,7763,17666
World,OWID_WRL,2011,9400,0
