Entity,Code,Year,Observation value - Unit_of_measure: Number of deaths - Indicator: Neonatal deaths - Sex: Both sexes - Wealth_quintile: All wealth quintiles
Burkina Faso,BFA,1970,19074
Burkina Faso,BFA,1980,20482
Burkina Faso,BFA,1990,19606
Burkina Faso,BFA,2000,21784
Burkina Faso,BFA,2010,21673
Burkina Faso,BFA,2021,19832
Saint Vincent and the Grenadines,VCT,1980,66
Saint Vincent and the Grenadines,VCT,1990,34
Saint Vincent and the Grenadines,VCT,2000,30
Saint Vincent and the Grenadines,VCT,2010,23
Saint Vincent and the Grenadines,VCT,2021,11
San Marino,SMR,1990,2
San Marino,SMR,2000,1
San Marino,SMR,2010,0
San Marino,SMR,2021,0
Spain,ESP,1961,13397
Spain,ESP,1970,11188
Spain,ESP,1980,5140
Spain,ESP,1990,1972
Spain,ESP,2000,1114
Spain,ESP,2010,1028
Spain,ESP,2021,637
Western Asia and Northern Africa (SDG),,1990,289832
Western Asia and Northern Africa (SDG),,2000,219137
Western Asia and Northern Africa (SDG),,2010,189945
Western Asia and Northern Africa (SDG),,2021,155484
