Entity,Code,Year,"Deaths that are from all causes attributed to ambient particulate matter pollution per 100,000 people, in both sexes aged age-standardized","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Population (historical estimates),Continent
Africa,,2017,,,1263333997.0,
Algeria,DZA,2017,76.961716,38.88401,41136548.0,
Armenia,ARM,2017,80.116,32.52812,2851929.0,
Asia,,2017,,,4547095064.0,
Australia,AUS,2017,3.9164789,8.550324,24590336.0,
Azerbaijan,AZE,2017,116.03072,19.928663,10071569.0,
Bahrain,BHR,2017,107.55419,70.81621,1456844.0,
Bangladesh,BGD,2017,58.568104,60.845783,161793968.0,
Benin,BEN,2017,33.399876,38.999958,11596786.0,
Brazil,BRA,2017,19.633879,12.70663,208504960.0,
Bulgaria,BGR,2017,62.766365,19.149132,7182430.0,
Cameroon,CMR,2017,71.31749,72.7931,24393182.0,
Chad,TCD,2017,27.75022,66.029205,15085893.0,
Chile,CHL,2017,24.180418,21.036299,18368582.0,
China,CHN,2017,83.25248,52.664597,1410275968.0,
Congo,COG,2017,70.464485,46.63822,5312347.0,
Democratic Republic of Congo,COD,2017,27.838892,44.909264,84283272.0,
Egypt,EGY,2017,160.7869,86.99945,101789384.0,
Eritrea,ERI,2017,46.197712,48.030197,3396933.0,
Ethiopia,ETH,2017,17.75,38.978737,108197944.0,
Europe,,2017,,,745657647.0,
Fiji,FJI,2017,47.97589,10.84016,919022.0,
Gabon,GAB,2017,83.37946,44.385548,2140225.0,
India,IND,2017,91.83031,90.87321,1354195712.0,
Indonesia,IDN,2017,53.341835,16.502653,264498848.0,
Iran,IRN,2017,65.80851,38.97876,84505080.0,
Iraq,IRQ,2017,120.06846,61.636234,39621156.0,
Italy,ITA,2017,14.785835,16.750711,60004024.0,
Kazakhstan,KAZ,2017,69.69722,13.824288,18314822.0,
Libya,LBY,2017,68.802086,54.25468,6378267.0,
Malawi,MWI,2017,15.840107,23.565922,17881172.0,
Mexico,MEX,2017,33.260563,20.921116,122839256.0,
Morocco,MAR,2017,95.71189,32.59354,35528116.0,
Myanmar,MMR,2017,55.95,35.557453,52288344.0,
Namibia,NAM,2017,58.51281,25.358765,2364540.0,
Nepal,NPL,2017,87.5747,99.734375,28183424.0,
Niger,NER,2017,22.88012,94.05382,21737924.0,
Nigeria,NGA,2017,57.24787,71.79817,193495904.0,
North America,,2017,,,581258143.0,
Oceania,,2017,,,41817267.0,
Oman,OMN,2017,146.02014,41.11524,4541853.0,
Pakistan,PAK,2017,91.21893,58.282417,216379648.0,
Philippines,PHL,2017,43.36074,18.0698,106738496.0,
Qatar,QAT,2017,140.50142,91.187325,2711764.0,
Russia,RUS,2017,31.842491,16.160223,145452544.0,
Samoa,WSM,2017,27.904482,11.548027,207642.0,
Saudi Arabia,SAU,2017,115.779144,87.94545,34193120.0,
Senegal,SEN,2017,42.04654,40.695827,15157793.0,
Somalia,SOM,2017,7.700279,32.034584,14864224.0,
South Africa,ZAF,2017,68.03207,25.102205,56641208.0,
South America,,2017,,,420982650.0,
Sudan,SDN,2017,81.19712,55.370834,40679820.0,
Syria,SYR,2017,101.16438,43.75726,18983370.0,
Tajikistan,TJK,2017,124.462654,46.152184,8925529.0,
Tanzania,TZA,2017,20.341314,29.076641,56267040.0,
Thailand,THA,2017,32.28479,26.256727,70898208.0,
Togo,TGO,2017,41.687763,35.731335,7852799.0,
Turkey,TUR,2017,53.167835,44.311527,82089824.0,
Turkmenistan,TKM,2017,100.78455,21.767721,5968388.0,
United States,USA,2017,8.489827,7.4094415,329791232.0,
Uzbekistan,UZB,2017,189.00334,28.455902,31945680.0,
Vietnam,VNM,2017,44.42795,29.626728,94033048.0,
Yemen,YEM,2017,80.148,50.456005,30034386.0,
