Entity,Code,Year,"Air transport, freight (million ton-km)"
China,CHN,1980,120900000.0
China,CHN,1990,818300000.0
China,CHN,2000,3900080000.0
China,CHN,2010,17193877000.0
China,CHN,2020,19264244000.0
Cuba,CUB,1970,9100000.0
Cuba,CUB,1980,10400000.0
Cuba,CUB,1990,19000000.0
Cuba,CUB,2000,49294000.0
Cuba,CUB,2010,0.0
Cuba,CUB,2020,13421754.0
El Salvador,SLV,1970,11400000.0
El Salvador,SLV,1980,17200000.0
El Salvador,SLV,1990,4600000.0
El Salvador,SLV,2000,31157000.0
El Salvador,SLV,2010,10967098.0
El Salvador,SLV,2020,7144167.399999999
Macao,MAC,2000,21899000.0
Macao,MAC,2010,36713790.0
Macao,MAC,2020,8994410.0
Malawi,MWI,1970,400000.0
Malawi,MWI,1980,800000.0
Malawi,MWI,1990,900000.0
Malawi,MWI,2000,800000.0
Malawi,MWI,2010,554163.4600000001
Malawi,MWI,2020,86.24
Mali,MLI,1970,2400000.0
Mali,MLI,1980,500000.0
Mali,MLI,2000,12273000.0
Mali,MLI,2010,8328779.000000001
Moldova,MDA,2000,617000.0
Moldova,MDA,2010,1002260.0
Moldova,MDA,2020,451880.0
Tunisia,TUN,1970,1400000.0
Tunisia,TUN,1980,11600000.0
Tunisia,TUN,1990,19100000.0
Tunisia,TUN,2000,20818000.0
Tunisia,TUN,2010,14640172.0
Tunisia,TUN,2020,6546656.0
