Entity,Code,Year,Family benefits public spending (% GDP) (OECD (2016)),"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",Population (historical estimates),Continent
Asia,,2015,,,4458250376.0,
Australia,AUS,2015,,55.493,23820240.0,Oceania
Austria,AUT,2015,,52.421,8642422.0,Europe
Belgium,BEL,2015,,44.276,11248306.0,Europe
Canada,CAN,2015,,57.367,35732120.0,North America
Chile,CHL,2015,1.728,45.003,17870122.0,South America
Czechia,CZE,2015,,48.132,10523801.0,Europe
Estonia,EST,2015,,52.484,1314658.0,Europe
Europe,,2015,,,743294457.0,
Finland,FIN,2015,,50.68,5479457.0,Europe
France,FRA,2015,,46.478,63809768.0,Europe
Germany,DEU,2015,,52.41,82073232.0,Europe
Greece,GRC,2015,,31.766,10806644.0,Europe
Hungary,HUN,2015,,44.037,9844250.0,Europe
Iceland,ISL,2015,,70.136,331068.0,Europe
Ireland,IRL,2015,,49.963,4665764.0,Europe
Israel,ISR,2015,1.9,55.928,8007777.0,Asia
Italy,ITA,2015,,34.736,60232908.0,Europe
Japan,JPN,2015,,48.025,127250936.0,Asia
Latvia,LVA,2015,,49.438,1991951.0,Europe
Luxembourg,LUX,2015,,50.554,569415.0,Europe
Mexico,MEX,2015,,41.279,120149896.0,North America
Netherlands,NLD,2015,,54.514,17041110.0,Europe
New Zealand,NZL,2015,,59.675,4590591.0,Oceania
North America,,2015,,,570726015.0,
Norway,NOR,2015,,59.794,5190357.0,Europe
Oceania,,2015,,,40403644.0,
Poland,POL,2015,,44.682,38553148.0,Europe
Slovakia,SVK,2015,,45.269,5424449.0,Europe
Slovenia,SVN,2015,,46.672,2080865.0,Europe
South America,,2015,,,413134461.0,
South Korea,KOR,2015,,50.473,50994396.0,Asia
Spain,ESP,2015,,40.62,46431344.0,Europe
Switzerland,CHE,2015,,59.22,8281735.0,Europe
Turkey,TUR,2015,,27.637,79646176.0,Asia
United Kingdom,GBR,2015,,54.266,65224368.0,Europe
United States,USA,2015,,52.926,324607776.0,North America
