Entity,Code,Year,"Death rate per 100,000 people - Cause: Diabetes mellitus - Sex: Both sexes - Age group: ALLAges"
Georgia,GEO,2000,23.17
Georgia,GEO,2005,22.58
Georgia,GEO,2010,33.38
Georgia,GEO,2015,44.75
Georgia,GEO,2019,40.56
Senegal,SEN,2000,15.6
Senegal,SEN,2005,15.72
Senegal,SEN,2010,15.23
Senegal,SEN,2015,14.9
Senegal,SEN,2019,14.7
Sierra Leone,SLE,2000,13.83
Sierra Leone,SLE,2005,14.77
Sierra Leone,SLE,2010,16.0
Sierra Leone,SLE,2015,14.61
Sierra Leone,SLE,2019,15.23
Slovakia,SVK,2000,10.5
Slovakia,SVK,2005,9.75
Slovakia,SVK,2010,8.69
Slovakia,SVK,2015,12.5
Slovakia,SVK,2019,13.74
Vanuatu,VUT,2000,27.38
Vanuatu,VUT,2005,32.73
Vanuatu,VUT,2010,39.23
Vanuatu,VUT,2015,40.97
Vanuatu,VUT,2019,42.3
