Entity,Code,Year,$2.15 a day - Share of population in poverty,$2.15 a day - Poverty gap index,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,,,32353592.0,
Asia,,2019,,,4627738749.0,
Botswana,BWA,2019,,,2499705.0,
China,CHN,2019,0.14242858,0.029318634,1421864064.0,
Cote d'Ivoire,CIV,2019,,,26147544.0,
East Timor,TLS,2019,,,1280442.0,
Eswatini,SWZ,2019,,,1169620.0,
Ethiopia,ETH,2019,,,114120592.0,
Europe,,2019,,,747418251.0,
India,IND,2019,12.731296,2.45526,1383112064.0,
Kenya,KEN,2019,,,50951452.0,
Malawi,MWI,2019,70.0606,29.313591,18867340.0,
Mozambique,MOZ,2019,74.38077,37.51742,30285602.0,
Niger,NER,2019,,,23443400.0,
Nigeria,NGA,2019,,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,,,223293280.0,
Rwanda,RWA,2019,,,12835029.0,
South Africa,ZAF,2019,,,58087060.0,
South America,,2019,,,428318218.0,
South Sudan,SSD,2019,,,10447677.0,
Tanzania,TZA,2019,,,59872584.0,
Uganda,UGA,2019,42.20773,13.672612,42949076.0,
Yemen,YEM,2019,,,31546694.0,
Zambia,ZMB,2019,,,18380478.0,
