Entity,Code,Year,New HIV Infections - Disaggregation: All ages estimate
Democratic Republic of Congo,COD,1990,72056
Democratic Republic of Congo,COD,1995,71608
Democratic Republic of Congo,COD,2000,58203
Democratic Republic of Congo,COD,2005,46273
Democratic Republic of Congo,COD,2010,37872
Democratic Republic of Congo,COD,2015,28610
Democratic Republic of Congo,COD,2020,21516
Democratic Republic of Congo,COD,2022,15887
Kenya,KEN,1990,195767
Kenya,KEN,1995,186554
Kenya,KEN,2000,125982
Kenya,KEN,2005,96259
Kenya,KEN,2010,69505
Kenya,KEN,2015,42380
Kenya,KEN,2020,27689
Kenya,KEN,2022,22155
South Africa,ZAF,1990,115790
South Africa,ZAF,1995,410749
South Africa,ZAF,2000,513179
South Africa,ZAF,2005,474078
South Africa,ZAF,2010,376423
South Africa,ZAF,2015,281911
South Africa,ZAF,2020,185514
South Africa,ZAF,2022,161801
World,OWID_WRL,1990,2353232
World,OWID_WRL,1995,3232503
World,OWID_WRL,2000,2842886
World,OWID_WRL,2005,2456523
World,OWID_WRL,2010,2122975
World,OWID_WRL,2015,1804756
World,OWID_WRL,2020,1465561
World,OWID_WRL,2022,1320177
