Entity,Code,Year,"16.2.2 - Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number) - VC_HTF_DETVFL - under 18 years old - Male","16.2.2 - Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number) - VC_HTF_DETVFL - under 18 years old - Female",Population (historical estimates),Continent
Africa,,2020,,,1360677453.0,
Asia,,2020,,,4663086623.0,
Bolivia,BOL,2020,,,11936169.0,
Cote d'Ivoire,CIV,2020,,,26811792.0,
El Salvador,SLV,2020,,,6292734.0,
Europe,,2020,,,747462669.0,
France,FRA,2020,,,64480052.0,
Guatemala,GTM,2020,,,17362716.0,
Mexico,MEX,2020,,,125998296.0,
Myanmar,MMR,2020,,,53423200.0,
Nigeria,NGA,2020,,,208327408.0,
North America,,2020,,,594263186.0,
Norway,NOR,2020,,,5379836.0,
Paraguay,PRY,2020,71.0,59.0,6618700.0,
Peru,PER,2020,,,33304768.0,
Romania,ROU,2020,,10.0,19442040.0,
South America,,2020,,,431530105.0,
Spain,ESP,2020,,,47363808.0,
Thailand,THA,2020,,,71475664.0,
Tunisia,TUN,2020,,,12161720.0,
Turkey,TUR,2020,,,84135432.0,
United Kingdom,GBR,2020,106.0,531.0,67059472.0,
United States,USA,2020,84.0,116.0,335942016.0,
Zambia,ZMB,2020,,,18927716.0,
