Entity,Code,Year,Bipolar disorders (share of population) - Sex: Male - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Female - Age: Age-standardized,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Argentina,ARG,2019,0.9992864,1.0748366,44745516.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,1.1011659,1.1452392,25357168.0,
Bermuda,BMU,2019,0.8884395,1.0634505,63833.0,
Brazil,BRA,2019,1.0161746,1.2040521,211782880.0,
China,CHN,2019,0.1752229,0.18917707,1421864064.0,
Europe,,2019,,,747418251.0,
Germany,DEU,2019,0.6036304,0.8992413,83148144.0,
Haiti,HTI,2019,0.8080218,0.8773783,11160441.0,
High-income countries,,2019,0.676042,0.8030739,1214846354.0,
India,IND,2019,0.37649724,0.3306075,1383112064.0,
Indonesia,IDN,2019,0.32899022,0.3328698,269582880.0,
Iran,IRN,2019,0.74830455,0.88848424,86564208.0,
Ireland,IRL,2019,0.62132466,0.77911836,4896021.0,
Israel,ISR,2019,0.92478615,1.1774913,8607922.0,
Italy,ITA,2019,0.7313357,1.0560486,59727936.0,
Lower-middle-income countries,,2019,0.42121828,0.41553995,3326051409.0,
Mexico,MEX,2019,0.8301164,0.9955467,125085312.0,
New Zealand,NZL,2019,1.398536,1.602814,4959033.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Papua New Guinea,PNG,2019,0.2624665,0.26456136,9542492.0,
Portugal,PRT,2019,0.773165,0.96754193,10289921.0,
South America,,2019,,,428318218.0,
Sweden,SWE,2019,0.83398837,1.1198151,10267922.0,
United Kingdom,GBR,2019,0.9411032,1.2481937,66778660.0,
United States,USA,2019,0.58744,0.61357397,334319680.0,
World,OWID_WRL,2019,0.4669432,0.5128074,7764951040.0,
