Entity,Code,Year,Case detection rate (all forms)
Brazil,BRA,2000,86.0
Brazil,BRA,2005,87.0
Brazil,BRA,2010,87.0
Brazil,BRA,2015,87.0
Brazil,BRA,2020,78.0
Brazil,BRA,2022,83.0
Burkina Faso,BFA,2000,28.0
Burkina Faso,BFA,2005,39.0
Burkina Faso,BFA,2010,51.0
Burkina Faso,BFA,2015,58.0
Burkina Faso,BFA,2020,58.0
Burkina Faso,BFA,2022,75.0
Canada,CAN,2000,87.0
Canada,CAN,2005,87.0
Canada,CAN,2010,87.0
Canada,CAN,2015,87.0
Canada,CAN,2020,87.0
Canada,CAN,2022,90.0
China,CHN,2000,33.0
China,CHN,2005,76.0
China,CHN,2010,89.0
China,CHN,2015,88.0
China,CHN,2020,75.0
China,CHN,2022,67.0
India,IND,2000,33.0
India,IND,2005,32.0
India,IND,2010,39.0
India,IND,2015,53.0
India,IND,2020,59.0
India,IND,2022,80.0
Nigeria,NGA,2000,9.6
Nigeria,NGA,2005,21.0
Nigeria,NGA,2010,24.0
Nigeria,NGA,2015,22.0
Nigeria,NGA,2020,30.0
Nigeria,NGA,2022,59.0
South Africa,ZAF,2000,42.0
South Africa,ZAF,2005,45.0
South Africa,ZAF,2010,56.0
South Africa,ZAF,2015,52.0
South Africa,ZAF,2020,58.0
South Africa,ZAF,2022,77.0
