Entity,Code,Year,"Government expenditure on education, total (% of government expenditure)"
China,CHN,1985,10.68738
China,CHN,1995,18.71717
China,CHN,2005,9.5
China,CHN,2010,14.96209
China,CHN,2015,12.10193
India,IND,2000,16.73051
India,IND,2005,11.20846
India,IND,2010,11.83368
India,IND,2015,15.69222
Japan,JPN,1981,16.12549
Japan,JPN,1995,10.36567
Japan,JPN,2010,8.417507
Japan,JPN,2015,8.374353
Mexico,MEX,1995,24.1213
Mexico,MEX,2000,19.64613
Mexico,MEX,2005,21.90379
Mexico,MEX,2010,18.64259
Mexico,MEX,2015,19.01875
Netherlands,NLD,1981,12.0679
Netherlands,NLD,1985,10.50206
Netherlands,NLD,1990,10.98549
Netherlands,NLD,1995,9.66795
Netherlands,NLD,2000,11.08149
Netherlands,NLD,2005,12.33591
Netherlands,NLD,2010,11.66905
Netherlands,NLD,2015,12.20965
South Africa,ZAF,2005,19.92499
South Africa,ZAF,2010,18.04437
South Africa,ZAF,2015,18.69935
South Africa,ZAF,2021,18.41724
United Kingdom,GBR,1981,12.64421
United Kingdom,GBR,1985,10.45942
United Kingdom,GBR,1990,11.09946
United Kingdom,GBR,1995,11.85439
United Kingdom,GBR,2000,11.848
United Kingdom,GBR,2005,13.00338
United Kingdom,GBR,2010,12.78199
United Kingdom,GBR,2015,13.49021
United States,USA,2010,15.56728
United States,USA,2015,13.54564
