Entity,Code,Year,Mismanaged plastic waste to ocean per capita (kg per year),"GDP per capita, PPP (constant 2017 international $)",Continent
Africa,,2019,0.059822761,,
Albania,ALB,2019,0.543214162,13655.665,
Algeria,DZA,2019,0.134113767,11627.28,
Angola,AGO,2019,0.027022781,6602.424,
Antigua and Barbuda,ATG,2019,0.020618557,23035.658,
Asia,,2019,0.172404698,,
Australia,AUS,2019,0.00126969,49379.094,
Bangladesh,BGD,2019,0.151122996,5467.208,
Barbados,BRB,2019,0.156794425,15954.803,
Belize,BLZ,2019,0.958974359,9028.552,
Benin,BEN,2019,0.138886535,3156.439,
Brunei,BRN,2019,0.309468822,61424.363,
Burkina Faso,BFA,2019,0.0,2110.0623,
Cameroon,CMR,2019,0.412389859,3756.5095,
China,CHN,2019,0.049314957,15977.764,
Comoros,COM,2019,0.0,3290.6506,
Djibouti,DJI,2019,0.004106776,4768.113,
Dominica,DMA,2019,0.736111111,12395.421,
Dominican Republic,DOM,2019,0.584411956,18171.06,
East Timor,TLS,2019,0.552977572,3737.7964,
Egypt,EGY,2019,0.024614496,11180.697,
Equatorial Guinea,GNQ,2019,0.298672566,16240.37,
Europe,,2019,0.007805317,,
Fiji,FJI,2019,0.41011236,13241.354,
Gambia,GMB,2019,0.179301533,2083.309,
Grenada,GRD,2019,1.160714286,15393.791,
Guatemala,GTM,2019,0.406234003,8671.703,
Guyana,GUY,2019,1.591315453,12820.489,
Haiti,HTI,2019,0.615200213,3101.5942,
Ireland,IRL,2019,0.02355592,86681.27,
Italy,ITA,2019,0.006837325,42739.05,
Liberia,LBR,2019,0.534332591,1455.6377,
Libya,LBY,2019,0.129703409,22535.445,
Malaysia,MYS,2019,2.287887324,27674.402,
Mozambique,MOZ,2019,0.08377791,1285.1848,
North America,,2019,0.120204257,,
Oceania,,2019,0.086189708,,
Panama,PAN,2019,1.233396138,31543.605,
Philippines,PHL,2019,3.296160641,8731.861,
Saint Lucia,LCA,2019,2.453551913,15460.801,
Suriname,SUR,2019,2.886402754,18449.2,
Trinidad and Tobago,TTO,2019,2.549820789,25306.617,
Turkey,TUR,2019,0.171748771,28150.059,
Vietnam,VNM,2019,0.292560801,10252.005,
