Entity,Code,Year,Annual CO₂ emissions from cement (per capita)
Croatia,HRV,1950,0.124120824
Croatia,HRV,2000,0.27636015
Croatia,HRV,2022,0.29414463
Guyana,GUY,1950,0.0
Guyana,GUY,2022,0.19503121
Haiti,HTI,1950,0.0
Haiti,HTI,2000,0.0
Haiti,HTI,2022,0.010039273
Honduras,HND,1950,0.0
Honduras,HND,2000,0.07504168
Honduras,HND,2022,0.06725089
Mauritania,MRT,1750,0.0
Mauritania,MRT,1800,0.0
Mauritania,MRT,1850,0.0
Mauritania,MRT,1900,0.0
Mauritania,MRT,1950,0.0
Mauritania,MRT,2000,0.0
Mauritania,MRT,2022,0.0
Norway,NOR,1950,0.087494835
Norway,NOR,2000,0.19810545
Norway,NOR,2022,0.13477169
Philippines,PHL,1950,0.007870706
Philippines,PHL,2000,0.06488936
Philippines,PHL,2022,0.089433566
