Entity,Code,Year,Number of children who are wasted (IHME)
Angola,AGO,1990,416535.09318
Angola,AGO,1995,473338.0302
Angola,AGO,2000,423758.69838
Angola,AGO,2005,434375.61618
Angola,AGO,2010,450874.70232
Angola,AGO,2016,448524.11574
Austria,AUT,1990,5562.106679999999
Austria,AUT,1995,5919.34742
Austria,AUT,2000,4809.3969
Austria,AUT,2005,3909.60714
Austria,AUT,2010,3799.87848
Austria,AUT,2016,3888.479
Bosnia and Herzegovina,BIH,1990,18677.58054
Bosnia and Herzegovina,BIH,1995,15558.133369999998
Bosnia and Herzegovina,BIH,2000,15634.392920000002
Bosnia and Herzegovina,BIH,2005,11065.351140000002
Bosnia and Herzegovina,BIH,2010,12151.383
Bosnia and Herzegovina,BIH,2016,11312.627020000004
Chile,CHL,1990,8774.1393
Chile,CHL,1995,8334.538690000001
Chile,CHL,2000,7079.48915
Chile,CHL,2005,5690.149
Chile,CHL,2010,5227.457830000001
Chile,CHL,2016,4716.95892
New Zealand,NZL,1990,4408.930899999999
New Zealand,NZL,1995,4811.365
New Zealand,NZL,2000,3531.6000999999997
New Zealand,NZL,2005,3076.25575
New Zealand,NZL,2010,3288.01356
New Zealand,NZL,2016,2895.4836
Niger,NER,1990,289981.28004999994
Niger,NER,1995,385634.89316
Niger,NER,2000,461611.9494
Niger,NER,2005,523059.74364
Niger,NER,2010,639788.5008300002
Niger,NER,2016,779080.5773400002
Saint Vincent and the Grenadines,VCT,1990,484.0552800000001
Saint Vincent and the Grenadines,VCT,1995,416.5392
Saint Vincent and the Grenadines,VCT,2000,346.0809
Saint Vincent and the Grenadines,VCT,2005,271.93959
Saint Vincent and the Grenadines,VCT,2010,245.76552000000004
Saint Vincent and the Grenadines,VCT,2016,216.5437599999999
Somalia,SOM,1990,256795.84808000005
Somalia,SOM,1995,295904.39483999996
Somalia,SOM,2000,348540.82752
Somalia,SOM,2005,319569.922
Somalia,SOM,2010,366383.2456800001
Somalia,SOM,2016,426962.4444
Sri Lanka,LKA,1990,306407.80025000003
Sri Lanka,LKA,1995,267789.2960399999
Sri Lanka,LKA,2000,269521.1572
Sri Lanka,LKA,2005,260670.79845999996
Sri Lanka,LKA,2010,227681.04195
Sri Lanka,LKA,2016,205222.29595999996
