Entity,Code,Year,Vaccine effectiveness (strongly agree)
Belgium,BEL,2015,45.49
Belgium,BEL,2016,50.35
Belgium,BEL,2018,52.26
Belgium,BEL,2019,57.15
El Salvador,SLV,2015,69.16
El Salvador,SLV,2016,60.95
El Salvador,SLV,2018,62.51
El Salvador,SLV,2019,65.73
Gambia,GMB,2015,75.55
Gambia,GMB,2016,73.25
Gambia,GMB,2018,79.3
Gambia,GMB,2019,78.66
Honduras,HND,2015,71.37
Honduras,HND,2016,66.94
Honduras,HND,2018,75.51
Honduras,HND,2019,71.64
Mauritius,MUS,2015,64.69
Mauritius,MUS,2016,65.06
Mauritius,MUS,2018,55.16
Mauritius,MUS,2019,56.85
Nepal,NPL,2015,64.52
Nepal,NPL,2016,64.8
Nepal,NPL,2018,64.94
Nepal,NPL,2019,64.39
Niger,NER,2015,79.3
Niger,NER,2016,87.52
Niger,NER,2018,79.15
Niger,NER,2019,71.65
Vietnam,VNM,2015,45.95
Vietnam,VNM,2016,44.48
Vietnam,VNM,2018,46.89
Vietnam,VNM,2019,35.81
