Entity,Code,Year,Share of global cumulative CO₂ emissions
China,CHN,1950,0.98416656
China,CHN,2000,7.237062
China,CHN,2022,14.700434
European Union (27),,1800,0.6727261
European Union (27),,1850,18.12269
European Union (27),,1900,34.987152
European Union (27),,1950,28.446075
European Union (27),,2000,21.342447
European Union (27),,2022,16.69442
India,IND,1900,0.25619876
India,IND,1950,0.8661171
India,IND,2000,1.8075885
India,IND,2022,3.3697212
United Kingdom,GBR,1750,100.0
United Kingdom,GBR,1800,99.28796
United Kingdom,GBR,1850,77.83817
United Kingdom,GBR,1900,37.314568
United Kingdom,GBR,1950,16.97192
United Kingdom,GBR,2000,6.545027
United Kingdom,GBR,2022,4.446734
United States,USA,1800,0.031924415
United States,USA,1850,3.9831877
United States,USA,1900,23.757366
United States,USA,1950,39.861343
United States,USA,2000,29.0884
United States,USA,2022,24.080452
