Entity,Code,Year,"Homicide rate per 100,000 population - Both sexes - All ages",Continent
Algeria,DZA,2021,1.5731823,
Americas (UN),,2021,14.964148,
Bahrain,BHR,2021,0.068340294,
Botswana,BWA,2021,10.546963,
Colombia,COL,2021,27.484365,
Hungary,HUN,2021,0.7724166,
Jamaica,JAM,2021,52.127274,
Kenya,KEN,2021,5.274913,
Kosovo,OWID_KOS,2021,1.9855483,
Latvia,LVA,2021,3.0417538,
Luxembourg,LUX,2021,0.6256638,
Malta,MLT,2021,0.3796882,
Montenegro,MNE,2021,2.3890734,
Pakistan,PAK,2021,3.9787881,
Palestine,PSE,2021,0.8766134,
Panama,PAN,2021,12.639997,
Sweden,SWE,2021,1.0795734,
Switzerland,CHE,2021,0.48323596,
United States,USA,2021,6.8074665,
Vatican,VAT,2021,0.0,
