Entity,Code,Year,"Total number of deaths per 100,000 people - Drought","Total number of deaths per 100,000 people - Flood","Total number of deaths per 100,000 people - Earthquake","Total number of deaths per 100,000 people - Extreme weather","Total number of deaths per 100,000 people - Extreme temperature","Total number of deaths per 100,000 people - Volcanic activity","Total number of deaths per 100,000 people - Landslide","Total number of deaths per 100,000 people - Wildfire","Total number of deaths per 100,000 people - Glacial lake outburst","Total number of deaths per 100,000 people - Dry mass movement","Total number of deaths per 100,000 people - Fog"
World,OWID_WRL,1900,77.46256,0.018428842,0.008600126,0.36857682,,0.0018428841,,,,,
World,OWID_WRL,1910,4.8081064,0.07800446,0.14265935,0.0016969788,,,0.0035070896,,,,
World,OWID_WRL,1920,27.641766,0.0,9.634949,0.0118163265,,,,,,,
World,OWID_WRL,1940,0.87303025,0.005456439,0.06119942,0.005369136,,,,,,,
World,OWID_WRL,1960,0.0,0.3503207,0.62370133,0.30352074,,0.0,0.0017222915,,,,
World,OWID_WRL,1965,45.008976,0.04198241,0.02082639,1.7959241,0.002996603,0.010637941,0.006892187,0.0,,,
World,OWID_WRL,1970,0.0,0.08783917,2.1156359,8.239861,,,0.006169849,0.0,,,
World,OWID_WRL,1980,0.06750663,0.23550813,0.17189439,0.031030547,0.03125557,0.002025199,0.006750663,0.0,,0.0011251105,
World,OWID_WRL,1985,0.0,0.09000909,0.20264389,0.35306355,0.009379376,0.4484,0.00775444,0.0010490092,,0.006170642,
World,OWID_WRL,1990,0.0,0.042342465,0.80593646,0.086603604,0.018415494,0.000620747,0.0026522824,0.0,,0.0013731675,
World,OWID_WRL,1995,0.0,0.13838927,0.1347502,0.06552074,0.030122476,0.0,0.026483404,0.00050494325,,,
World,OWID_WRL,2000,0.0009595214,0.09798502,0.0035290872,0.022020202,0.015189712,0.0,0.016458232,0.0007643645,,0.00017889382,
World,OWID_WRL,2005,0.002271973,0.08755483,1.1625335,0.08006799,0.04005687,4.5744426e-05,0.010124766,0.00068616634,,,
World,OWID_WRL,2010,0.28630313,0.11961745,3.2457182,0.022388905,0.81722367,0.0046237954,0.049058042,0.0023763159,,,
World,OWID_WRL,2015,0.00047127908,0.04684514,0.12859187,0.01734307,0.09997849,0.0,0.013545907,0.0010502791,,0.00017504652,
World,OWID_WRL,2023,0.0,0.06408702,0.67930245,0.01771218,0.0025729272,0.0,0.005120995,0.0038531758,,,
World,OWID_WRL,1915,,0.0,1.6503124,0.11629241,,,0.003064647,,,,
World,OWID_WRL,1925,,0.0,0.3107179,0.041445926,,,,,,,
World,OWID_WRL,1935,,6.528181,3.099139,2.8828356,,,,,,,
World,OWID_WRL,1950,,0.15236132,0.078021154,0.034929473,,0.0033609113,0.0052014105,,,,
World,OWID_WRL,1955,,0.02126674,0.017807253,0.14183895,0.0038964746,,0.017406682,,,0.000109246954,
World,OWID_WRL,1975,,0.5110289,0.11382409,0.025580933,0.0034402793,4.9146845e-05,0.0047918176,,,,
World,OWID_WRL,1905,,,1.2236832,0.014167783,,,,,,0.0010625838,
World,OWID_WRL,1930,,,0.26866657,0.19714127,,0.06611622,0.0019318106,,,,
World,OWID_WRL,1945,,,0.29170212,0.18549113,,0.0,,,,,
