Entity,Code,Year,pol_part_eiu
Ethiopia,ETH,2006,5.0
Ethiopia,ETH,2008,5.0
Ethiopia,ETH,2010,4.44
Ethiopia,ETH,2012,5.0
Ethiopia,ETH,2014,5.56
Ethiopia,ETH,2016,5.56
Ethiopia,ETH,2018,5.56
Ethiopia,ETH,2020,5.56
Ethiopia,ETH,2022,6.11
Kyrgyzstan,KGZ,2006,2.78
Kyrgyzstan,KGZ,2008,3.89
Kyrgyzstan,KGZ,2010,5.0
Kyrgyzstan,KGZ,2012,5.0
Kyrgyzstan,KGZ,2014,6.67
Kyrgyzstan,KGZ,2016,5.56
Kyrgyzstan,KGZ,2018,6.67
Kyrgyzstan,KGZ,2020,5.56
Kyrgyzstan,KGZ,2022,4.44
Malta,MLT,2006,6.11
Malta,MLT,2008,6.11
Malta,MLT,2010,5.56
Malta,MLT,2012,5.56
Malta,MLT,2014,6.11
Malta,MLT,2016,6.11
Malta,MLT,2018,6.11
Malta,MLT,2020,6.11
Malta,MLT,2022,5.56
Nigeria,NGA,2006,4.44
Nigeria,NGA,2008,3.33
Nigeria,NGA,2010,3.33
Nigeria,NGA,2012,3.33
Nigeria,NGA,2014,3.33
Nigeria,NGA,2016,3.33
Nigeria,NGA,2018,3.33
Nigeria,NGA,2020,3.89
Nigeria,NGA,2022,3.89
