Entity,Code,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
Cape Verde,CPV,1990,36.138725
Cape Verde,CPV,1995,36.364613
Cape Verde,CPV,2000,36.628124
Cape Verde,CPV,2005,30.26241
Cape Verde,CPV,2010,27.596441
Cape Verde,CPV,2015,38.633614
Cape Verde,CPV,2017,34.7787
Ghana,GHA,1990,35.59498
Ghana,GHA,1995,34.759655
Ghana,GHA,2000,35.037224
Ghana,GHA,2005,26.806673
Ghana,GHA,2010,27.368284
Ghana,GHA,2015,34.6819
Ghana,GHA,2017,34.713512
Latvia,LVA,1990,19.023418
Latvia,LVA,1995,17.31863
Latvia,LVA,2000,16.719967
Latvia,LVA,2005,16.855894
Latvia,LVA,2010,17.115065
Latvia,LVA,2015,13.968202
Latvia,LVA,2017,13.426457
Mauritania,MRT,1990,50.06832
Mauritania,MRT,1995,48.414963
Mauritania,MRT,2000,48.860252
Mauritania,MRT,2005,41.8726
Mauritania,MRT,2010,39.637413
Mauritania,MRT,2015,49.498257
Mauritania,MRT,2017,47.422993
Northern Mariana Islands,MNP,1990,11.414901
Northern Mariana Islands,MNP,1995,11.409986
Northern Mariana Islands,MNP,2000,12.181242
Northern Mariana Islands,MNP,2005,11.868772
Northern Mariana Islands,MNP,2010,11.926381
Northern Mariana Islands,MNP,2015,10.397712
Northern Mariana Islands,MNP,2017,9.892982
Somalia,SOM,1990,31.735985
Somalia,SOM,1995,29.901112
Somalia,SOM,2000,31.38599
Somalia,SOM,2005,29.721804
Somalia,SOM,2010,29.000185
Somalia,SOM,2015,32.01839
Somalia,SOM,2017,32.034584
