Entity,Code,Year,Oil price - Crude prices since 1861 (constant 2022 US$),Oil consumption - m³/day,Population (historical estimates),Continent
World,OWID_WRL,1965,105.15738,4904694.5,3337112064.0,
World,OWID_WRL,1966,102.0796,5274798.5,3406416896.0,
World,OWID_WRL,1968,95.256355,6117223.5,3546810880.0,
World,OWID_WRL,1969,90.322586,6644048.5,3620655360.0,
World,OWID_WRL,1970,85.34021,7216150.0,3695390208.0,
World,OWID_WRL,1971,101.82983,7627654.5,3770163200.0,
World,OWID_WRL,1972,109.1679,8187264.5,3844800768.0,
World,OWID_WRL,1973,136.39723,8860463.0,3920251392.0,
World,OWID_WRL,1974,432.2957,8746217.0,3995516928.0,
World,OWID_WRL,1975,394.3712,8667220.0,4069437184.0,
World,OWID_WRL,1977,422.76553,9543318.0,4215772416.0,
World,OWID_WRL,1978,395.6135,10040727.0,4289657600.0,
World,OWID_WRL,1979,801.73364,10214940.0,4365582848.0,
World,OWID_WRL,1980,822.66547,9760703.0,4444007936.0,
World,OWID_WRL,1981,727.38873,9475184.0,4524627456.0,
World,OWID_WRL,1982,628.9039,9218959.0,4607984640.0,
World,OWID_WRL,1983,546.1234,9182332.0,4691884032.0,
World,OWID_WRL,1984,509.96173,9377497.0,4775836160.0,
World,OWID_WRL,1985,471.62213,9425684.0,4861730816.0,
World,OWID_WRL,1986,242.3346,9704472.0,4950063104.0,
World,OWID_WRL,1987,298.6502,9913412.0,5040984576.0,
World,OWID_WRL,1988,232.2959,10213924.0,5132294144.0,
World,OWID_WRL,1990,334.25412,10548580.0,5316175872.0,
World,OWID_WRL,1991,270.32858,10561708.0,5406245888.0,
World,OWID_WRL,1993,216.25876,10680674.0,5577433600.0,
World,OWID_WRL,1995,205.55594,11152634.0,5743219712.0,
World,OWID_WRL,1996,242.55869,11380763.0,5825145344.0,
World,OWID_WRL,1997,218.94615,11738764.0,5906481152.0,
World,OWID_WRL,1998,143.58922,11801601.0,5987312640.0,
World,OWID_WRL,2000,304.6036,12187903.0,6148898816.0,
World,OWID_WRL,2001,254.11258,12330934.0,6230747136.0,
World,OWID_WRL,2004,372.90717,13178389.0,6475751424.0,
World,OWID_WRL,2005,513.8939,13350912.0,6558176256.0,
World,OWID_WRL,2006,594.8328,13505658.0,6641416192.0,
World,OWID_WRL,2007,642.6545,13680779.0,6725948416.0,
World,OWID_WRL,2008,831.4954,13532049.0,6811597312.0,
World,OWID_WRL,2011,910.4361,13895798.0,7073125376.0,
World,OWID_WRL,2013,858.57947,14300938.0,7250593280.0,
World,OWID_WRL,2014,769.3542,14422274.0,7339013632.0,
World,OWID_WRL,2015,406.85037,14738691.0,7426597376.0,
World,OWID_WRL,2016,335.4203,15028045.0,7513474048.0,
World,OWID_WRL,2017,406.96152,15338550.0,7599822336.0,
World,OWID_WRL,2018,522.7391,15534828.0,7683789824.0,
World,OWID_WRL,2019,462.318,15574222.0,7764951040.0,
World,OWID_WRL,2020,297.5666,14171978.0,7840952832.0,
World,OWID_WRL,2021,481.71588,15003956.0,7909295104.0,
World,OWID_WRL,2022,637.28253,15470982.0,,
