Entity,Code,Year,Human Development Index,Augmented Human Development Index (AHDI),814486-annotations,Population (historical estimates),Continent
Africa,,2020,,,,1360677453.0,
Angola,AGO,2020,0.59,0.24331707,,33428490.0,
Argentina,ARG,2020,0.84,0.5808542,,45036032.0,
Asia,,2020,,,,4663086623.0,
Bahrain,BHR,2020,0.877,0.3008721,,1477478.0,
Bangladesh,BGD,2020,0.655,0.26811337,,167420944.0,
Belize,BLZ,2020,0.69,0.49294052,,394931.0,
Brazil,BRA,2020,0.758,0.4536289,,213196304.0,
Bulgaria,BGR,2020,0.802,0.54091567,,6979181.0,
Chad,TCD,2020,0.397,0.14265636,,16644707.0,
Chile,CHL,2020,0.852,0.647991,,19300318.0,
China,CHN,2020,0.764,0.2572684,,1424929792.0,
Egypt,EGY,2020,0.734,0.3205337,,107465128.0,
Estonia,EST,2020,0.892,0.7694939,,1329449.0,
Ethiopia,ETH,2020,0.498,0.20608407,,117190920.0,
Europe,,2020,,,,747462669.0,
Ghana,GHA,2020,0.632,0.40519884,,32180402.0,
Hong Kong,HKG,2020,0.949,0.6183592,,7500955.0,
India,IND,2020,0.642,0.35353443,,1396387072.0,
Indonesia,IDN,2020,0.709,0.42196304,,271857984.0,
Iran,IRN,2020,0.777,0.37193736,,87290192.0,
Italy,ITA,2020,0.889,0.6947239,,59500576.0,
Japan,JPN,2020,0.923,0.85673577,,125244760.0,
Libya,LBY,2020,0.703,0.2771623,,6653946.0,
Malawi,MWI,2020,0.516,0.27261257,,19377058.0,
Malaysia,MYS,2020,0.806,0.47657886,,33199988.0,
Mozambique,MOZ,2020,0.453,0.23250847,,31178242.0,
Myanmar,MMR,2020,0.6,0.32442257,,53423200.0,
Niger,NER,2020,0.401,0.20149691,,24333644.0,
North America,,2020,,,,594263186.0,
Oceania,,2020,,,,43933757.0,
Pakistan,PAK,2020,0.543,0.2638195,,227196736.0,
Peru,PER,2020,0.762,0.52734023,,33304768.0,
Russia,RUS,2020,0.83,0.3766185,,145617328.0,
South America,,2020,,,,431530105.0,
Syria,SYR,2020,0.577,0.18850534,,20772602.0,
United Arab Emirates,ARE,2020,0.912,0.3973578,,9287286.0,
United States,USA,2020,0.92,0.74961233,,335942016.0,
Yemen,YEM,2020,0.46,0.14160517,,32284044.0,
