Entity,Code,Year,Deaths - Lower respiratory infections - Sex: Both - Age: Under 5 (Rate),Proportion of population with primary reliance on clean fuels and technologies for cooking (%) - Residence area type: Total,Continent
Afghanistan,AFG,2019,207.22,32.45,
Albania,ALB,2019,40.21,81.6,
Algeria,DZA,2019,17.88,99.7,
Andorra,AND,2019,1.16,100.0,
Angola,AGO,2019,108.36,49.3,
Armenia,ARM,2019,47.58,98.1,
Azerbaijan,AZE,2019,173.17,98.0,
Bangladesh,BGD,2019,89.6,23.5,
Benin,BEN,2019,233.19,4.8,
Bhutan,BTN,2019,75.47,84.6,
Bolivia,BOL,2019,104.61,86.5,
Bosnia and Herzegovina,BIH,2019,2.9,41.9,
Botswana,BWA,2019,121.79,64.8,
Burkina Faso,BFA,2019,408.23,10.3,
Burundi,BDI,2019,121.18,0.2,
Cambodia,KHM,2019,189.37,34.5,
Cameroon,CMR,2019,185.22,22.7,
China,CHN,2019,18.1,79.4,
Comoros,COM,2019,156.72,9.6,
Congo,COG,2019,47.9,32.2,
Cote d'Ivoire,CIV,2019,222.37,28.7,
Democratic Republic of Congo,COD,2019,103.06,4.2,
East Timor,TLS,2019,126.2,12.85,
Eswatini,SWZ,2019,168.23,54.7,
Fiji,FJI,2019,51.28,47.9,
Gambia,GMB,2019,87.64,1.8,
Georgia,GEO,2019,14.94,87.6,
Grenada,GRD,2019,31.52,89.2,
Guinea,GIN,2019,340.11,0.9,
Haiti,HTI,2019,208.98,4.1,
Honduras,HND,2019,21.14,48.6,
Kiribati,KIR,2019,48.07,10.0,
Laos,LAO,2019,189.13,7.9,
Lesotho,LSO,2019,241.55,39.6,
Madagascar,MDG,2019,145.52,1.2,
Mali,MLI,2019,288.95,0.9,
Marshall Islands,MHL,2019,64.25,66.1,
Mauritania,MRT,2019,88.0,47.2,
Mongolia,MNG,2019,72.58,49.9,
Montenegro,MNE,2019,3.92,62.0,
Myanmar,MMR,2019,131.64,35.2,
Nauru,NRU,2019,96.38,100.0,
Nepal,NPL,2019,114.85,32.9,
Nicaragua,NIC,2019,49.95,55.2,
Niger,NER,2019,358.34,2.5,
Pakistan,PAK,2019,152.8,47.6,
Papua New Guinea,PNG,2019,331.15,9.3,
Paraguay,PRY,2019,22.53,68.5,
Samoa,WSM,2019,24.79,35.3,
Serbia,SRB,2019,2.79,78.2,
Somalia,SOM,2019,379.63,3.1,
Sri Lanka,LKA,2019,7.63,30.2,
Tajikistan,TJK,2019,163.04,83.3,
Tuvalu,TUV,2019,37.64,72.5,
Uzbekistan,UZB,2019,179.06,83.5,
Vanuatu,VUT,2019,77.78,7.6,
World,OWID_WRL,2019,101.37,68.68965,
