Entity,Code,Year,It is important to this person looking after the environment: Like me (aggregate),Continent
Antarctica,ATA,2015,,Antarctica
Argentina,ARG,2015,,South America
China,CHN,2015,,Asia
Egypt,EGY,2015,,Africa
Estonia,EST,2015,,Europe
Finland,FIN,2015,,Europe
France,FRA,2015,,Europe
Haiti,HTI,2015,,North America
Jordan,JOR,2015,,Asia
Moldova,MDA,2015,,Europe
New Zealand,NZL,2015,,Oceania
Palestine,PSE,2015,,Asia
Qatar,QAT,2015,,Asia
Serbia,SRB,2015,,Europe
Slovenia,SVN,2015,,Europe
South Korea,KOR,2015,,Asia
Switzerland,CHE,2015,,Europe
Thailand,THA,2015,,Asia
Trinidad and Tobago,TTO,2015,,North America
Uruguay,URY,2015,,South America
Vietnam,VNM,2015,,Asia
