Entity,Code,Year,"Number of new cases of tetanus, in both sexes aged under 5"
African Region (WHO),,1990,44033.492
African Region (WHO),,1995,41738.87
African Region (WHO),,2000,40360.77
African Region (WHO),,2005,28456.008
African Region (WHO),,2010,20711.682
African Region (WHO),,2015,18419.799
African Region (WHO),,2019,12965.375
Eastern Mediterranean Region (WHO),,1990,57308.96
Eastern Mediterranean Region (WHO),,1995,47829.855
Eastern Mediterranean Region (WHO),,2000,30772.844
Eastern Mediterranean Region (WHO),,2005,21145.623
Eastern Mediterranean Region (WHO),,2010,16340.017
Eastern Mediterranean Region (WHO),,2015,12217.116
Eastern Mediterranean Region (WHO),,2019,9000.68
European Region (WHO),,1990,352.09958
European Region (WHO),,1995,228.85966
European Region (WHO),,2000,105.77602
European Region (WHO),,2005,23.70862
European Region (WHO),,2010,11.15399
European Region (WHO),,2015,8.045881
European Region (WHO),,2019,6.0938697
Region of the Americas (WHO),,1990,2809.9136
Region of the Americas (WHO),,1995,1441.1558
Region of the Americas (WHO),,2000,835.0809
Region of the Americas (WHO),,2005,581.4744
Region of the Americas (WHO),,2010,400.31247
Region of the Americas (WHO),,2015,290.1159
Region of the Americas (WHO),,2019,236.06784
South-East Asia Region (WHO),,1990,308488.6
South-East Asia Region (WHO),,1995,192748.53
South-East Asia Region (WHO),,2000,141885.7
South-East Asia Region (WHO),,2005,87458.77
South-East Asia Region (WHO),,2010,40090.66
South-East Asia Region (WHO),,2015,21191.346
South-East Asia Region (WHO),,2019,13943.765
Western Pacific Region (WHO),,1990,65357.85
Western Pacific Region (WHO),,1995,31588.385
Western Pacific Region (WHO),,2000,12590.811
Western Pacific Region (WHO),,2005,5358.829
Western Pacific Region (WHO),,2010,2016.8193
Western Pacific Region (WHO),,2015,1419.0337
Western Pacific Region (WHO),,2019,815.04175
