Entity,Code,Year,"16.7.1 - Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber - SG_DMK_PARLMP_UC"
Afghanistan,AFG,2021,0.57
Afghanistan,AFG,2022,0.57
Canada,CAN,2021,0.97
Canada,CAN,2022,0.96
Canada,CAN,2023,1.01
Rwanda,RWA,2021,0.73
Rwanda,RWA,2022,0.66
Rwanda,RWA,2023,0.62
Tajikistan,TJK,2021,0.44
Tajikistan,TJK,2022,0.5
Tajikistan,TJK,2023,0.5
