Entity,Code,Year,Learning-Adjusted Years of School,Population - Sex: all - Age: 0-24 - Variant: estimates,World Bank's income classification
Bangladesh,BGD,2020,5.989421,77978376.0,Lower-middle-income countries
Brazil,BRA,2020,7.8728395,77659360.0,Upper-middle-income countries
Cameroon,CMR,2020,5.2868743,16474100.0,Lower-middle-income countries
China,CHN,2020,9.270027,418674200.0,Upper-middle-income countries
Egypt,EGY,2020,6.5293627,54061740.0,Lower-middle-income countries
Ethiopia,ETH,2020,4.3491125,71974800.0,Low-income countries
High-income countries,,2020,,347817570.0,
India,IND,2020,7.1021705,618883840.0,Lower-middle-income countries
Indonesia,IDN,2020,7.8277683,113878620.0,Lower-middle-income countries
Liberia,LBR,2020,2.2065024,3122119.0,Low-income countries
Low-income countries,,2020,,436753700.0,
Lower-middle-income countries,,2020,,1599816700.0,
Mexico,MEX,2020,8.824254,53397188.0,Upper-middle-income countries
Nigeria,NGA,2020,5.0383425,131049240.0,Lower-middle-income countries
Pakistan,PAK,2020,5.079235,130630660.0,Lower-middle-income countries
Russia,RUS,2020,10.898087,39943720.0,Upper-middle-income countries
Singapore,SGP,2020,12.81329,1392262.0,High-income countries
United States,USA,2020,10.55677,106059260.0,High-income countries
Upper-middle-income countries,,2020,,833851260.0,
