Entity,Code,Year,Fossil fuel electricity per capita - kWh
Australia,AUS,1985,6685.931
Australia,AUS,1990,8177.0576
Australia,AUS,1995,8797.746
Australia,AUS,2000,10479.037
Australia,AUS,2005,10411.601
Australia,AUS,2010,10391.401
Australia,AUS,2015,9159.857
Australia,AUS,2020,7827.7983
Australia,AUS,2022,6978.9185
China,CHN,1985,300.21732
China,CHN,1990,428.5223
China,CHN,1995,656.7193
China,CHN,2000,880.7063
China,CHN,2005,1565.499
China,CHN,2010,2481.8733
China,CHN,2015,3049.073
China,CHN,2020,3668.9036
China,CHN,2022,4040.116
India,IND,1985,166.69826
India,IND,1990,246.88661
India,IND,1995,355.24155
India,IND,2000,448.59845
India,IND,2005,501.73273
India,IND,2010,622.0954
India,IND,2015,816.8473
India,IND,2020,874.872
India,IND,2022,1009.70026
South Africa,ZAF,1985,4012.833
South Africa,ZAF,1990,3910.1177
South Africa,ZAF,1995,3945.5884
South Africa,ZAF,2000,3880.9507
South Africa,ZAF,2005,4391.1157
South Africa,ZAF,2010,4394.715
South Africa,ZAF,2015,3847.5923
South Africa,ZAF,2020,3359.2434
South Africa,ZAF,2022,3074.2708
United Kingdom,GBR,1985,4031.669
United Kingdom,GBR,1990,4303.2354
United Kingdom,GBR,1995,4085.077
United Kingdom,GBR,2000,4793.3696
United Kingdom,GBR,2005,4964.9126
United Kingdom,GBR,2010,4680.3657
United Kingdom,GBR,2015,2838.9697
United Kingdom,GBR,2020,1897.4202
United Kingdom,GBR,2022,2124.4595
United States,USA,1985,8204.81
United States,USA,1990,9117.714
United States,USA,1995,9284.662
United States,USA,2000,9551.324
United States,USA,2005,9769.351
United States,USA,2010,9263.011
United States,USA,2015,8411.136
United States,USA,2020,7239.047
United States,USA,2022,7559.257
