Entity,Code,Year,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Rate)
Austria,AUT,1990,0.05
Austria,AUT,1995,0.06
Austria,AUT,2000,0.11
Austria,AUT,2005,0.4
Austria,AUT,2010,0.87
Austria,AUT,2015,1.42
Austria,AUT,2019,1.4
Croatia,HRV,1990,0.34
Croatia,HRV,1995,0.27
Croatia,HRV,2000,0.25
Croatia,HRV,2005,0.33
Croatia,HRV,2010,0.45
Croatia,HRV,2015,0.74
Croatia,HRV,2019,0.68
Germany,DEU,1990,0.7
Germany,DEU,1995,0.61
Germany,DEU,2000,0.84
Germany,DEU,2005,2.23
Germany,DEU,2010,4.61
Germany,DEU,2015,5.61
Germany,DEU,2019,5.06
Guinea-Bissau,GNB,1990,208.42
Guinea-Bissau,GNB,1995,175.89
Guinea-Bissau,GNB,2000,151.05
Guinea-Bissau,GNB,2005,159.26
Guinea-Bissau,GNB,2010,116.3
Guinea-Bissau,GNB,2015,86.62
Guinea-Bissau,GNB,2019,64.06
