Entity,Code,Year,Share of global cumulative CO₂ emissions from land-use change
Brazil,BRA,1850,1.5594102
Brazil,BRA,1860,1.4709918
Brazil,BRA,1880,1.721558
Brazil,BRA,1900,2.4889174
Brazil,BRA,1920,3.774811
Brazil,BRA,1940,4.5782986
Brazil,BRA,1960,6.2805824
Brazil,BRA,1980,9.502311
Brazil,BRA,2000,12.756098
Brazil,BRA,2022,14.9332485
China,CHN,1850,8.975483
China,CHN,1860,7.2798347
China,CHN,1880,2.9239326
China,CHN,1900,2.3138795
China,CHN,1920,3.2071471
China,CHN,1940,3.6363888
China,CHN,1960,4.2684464
China,CHN,1980,5.245472
China,CHN,2000,8.1963215
China,CHN,2022,8.319083
European Union (27),,1850,13.214872
European Union (27),,1860,11.522691
European Union (27),,1880,10.432052
European Union (27),,1900,9.146856
European Union (27),,1920,8.057145
European Union (27),,1940,7.260014
European Union (27),,1960,5.847032
European Union (27),,1980,4.3812475
European Union (27),,2000,3.2748232
European Union (27),,2022,2.3740134
India,IND,1850,11.39652
India,IND,1860,5.8916097
India,IND,1880,4.5371346
India,IND,1900,3.8537366
India,IND,1920,3.3456717
India,IND,1940,4.960828
India,IND,1960,6.309348
India,IND,1980,6.318779
India,IND,2000,5.775791
India,IND,2022,5.283592
Indonesia,IDN,1850,4.6164627
Indonesia,IDN,1860,10.269182
Indonesia,IDN,1880,10.560441
Indonesia,IDN,1900,10.572291
Indonesia,IDN,1920,10.9218025
Indonesia,IDN,1940,10.545258
Indonesia,IDN,1960,10.003156
Indonesia,IDN,1980,9.351913
Indonesia,IDN,2000,10.323489
Indonesia,IDN,2022,11.178546
United Kingdom,GBR,1850,0.3229592
United Kingdom,GBR,1860,-0.024233766
United Kingdom,GBR,1880,0.77405226
United Kingdom,GBR,1900,0.8278612
United Kingdom,GBR,1920,0.7852946
United Kingdom,GBR,1940,0.6312261
United Kingdom,GBR,1960,0.5592531
United Kingdom,GBR,1980,0.49436355
United Kingdom,GBR,2000,0.42338014
United Kingdom,GBR,2022,0.40362015
United States,USA,1850,30.516905
United States,USA,1860,33.77363
United States,USA,1880,37.828037
United States,USA,1900,38.269505
United States,USA,1920,35.279564
United States,USA,1940,30.369007
United States,USA,1960,24.503939
United States,USA,1980,21.124449
United States,USA,2000,18.351671
United States,USA,2022,15.966205
