Entity,Code,Year,Coal (TWh growth)
Africa,,1966,-0.3739624
Africa,,1970,14.114014
Africa,,1980,36.31009
Africa,,1990,42.057373
Africa,,2000,-2.2802124
Africa,,2010,-10.266113
Africa,,2022,-56.21643
Belgium,BEL,1966,-19.566162
Belgium,BEL,1970,-11.555847
Belgium,BEL,1980,0.97919464
Belgium,BEL,1990,11.097206
Belgium,BEL,2000,8.53196
Belgium,BEL,2010,9.255375
Belgium,BEL,2022,1.0440674
Eastern Africa (EI),,1966,3.4495068
Eastern Africa (EI),,1970,3.349331
Eastern Africa (EI),,1980,1.0322132
Eastern Africa (EI),,1990,15.222858
Eastern Africa (EI),,2000,-2.8167229
Eastern Africa (EI),,2010,8.4548855
Eastern Africa (EI),,2022,4.6080017
Hong Kong,HKG,1966,-0.19771004
Hong Kong,HKG,1970,-0.17445002
Hong Kong,HKG,1980,-0.02326
Hong Kong,HKG,1990,-7.1408195
Hong Kong,HKG,2000,7.0361137
Hong Kong,HKG,2010,-10.82473
Hong Kong,HKG,2022,-0.69916534
Middle East (EI),,1966,0.24109864
Middle East (EI),,1970,0.37024236
Middle East (EI),,1980,0.71329117
Middle East (EI),,1990,1.2718086
Middle East (EI),,2000,6.905937
Middle East (EI),,2010,10.283943
Middle East (EI),,2022,3.8853836
North America,,1966,153.60132
North America,,1970,-17.836426
North America,,1980,153.26758
North America,,1990,10.979004
North America,,2000,293.08252
North America,,2010,351.55176
North America,,2022,-211.96753
