Entity,Code,Year,"Death rate per 100,000 people - Cause: All Causes - Sex: Both sexes - Age group: ALLAges"
Afghanistan,AFG,2000,1.18952
Afghanistan,AFG,2005,0.98981
Afghanistan,AFG,2010,0.84823
Afghanistan,AFG,2015,0.73376
Afghanistan,AFG,2019,0.67055
Bangladesh,BGD,2000,0.6769299999999999
Bangladesh,BGD,2005,0.61946
Bangladesh,BGD,2010,0.5502100000000001
Bangladesh,BGD,2015,0.4727
Bangladesh,BGD,2019,0.4866
China,CHN,2000,0.66632
China,CHN,2005,0.68129
China,CHN,2010,0.66239
China,CHN,2015,0.65973
China,CHN,2019,0.70139
Mexico,MEX,2000,0.46332
Mexico,MEX,2005,0.47848
Mexico,MEX,2010,0.51578
Mexico,MEX,2015,0.53
Mexico,MEX,2019,0.55618
