Entity,Code,Year,Renewables - % electricity
High-income countries,,1985,18.607388
High-income countries,,1990,16.085632
High-income countries,,1995,15.90244
High-income countries,,2000,15.322674
High-income countries,,2005,14.5705595
High-income countries,,2010,16.770103
High-income countries,,2015,21.55161
High-income countries,,2020,27.671112
High-income countries,,2022,28.278028
Low-income countries,,2000,54.728218
Low-income countries,,2005,53.793625
Low-income countries,,2010,52.199924
Low-income countries,,2015,66.10512
Low-income countries,,2020,69.244
Lower-middle-income countries,,1985,17.186714
Lower-middle-income countries,,1990,16.610855
Lower-middle-income countries,,1995,17.15935
Lower-middle-income countries,,2000,18.815977
Lower-middle-income countries,,2005,18.825039
Lower-middle-income countries,,2010,18.078032
Lower-middle-income countries,,2015,17.547499
Lower-middle-income countries,,2020,21.453508
Lower-middle-income countries,,2022,19.481968
Upper-middle-income countries,,1985,25.525778
Upper-middle-income countries,,1990,24.817833
Upper-middle-income countries,,1995,27.828545
Upper-middle-income countries,,2000,27.394226
Upper-middle-income countries,,2005,24.699099
Upper-middle-income countries,,2010,24.372337
Upper-middle-income countries,,2015,26.350935
Upper-middle-income countries,,2020,30.420605
Upper-middle-income countries,,2022,31.650919
World,OWID_WRL,1985,20.817348
World,OWID_WRL,1990,19.062788
World,OWID_WRL,1995,19.722404
World,OWID_WRL,2000,18.909344
World,OWID_WRL,2005,18.260525
World,OWID_WRL,2010,19.859343
World,OWID_WRL,2015,23.17952
World,OWID_WRL,2020,28.24085
World,OWID_WRL,2022,29.548817
