Entity,Code,Year,$2.15 a day - Share of population in poverty,Share of population multidimensionally poor (national) - Harmonized over time,Population (historical estimates),Continent
Africa,,2000,,,818952374.0,
Africa,,2021,,,1393676724.0,
Asia,,2000,,,3735089775.0,
Asia,,2021,,,4693332132.0,
Bangladesh,BGD,2000,33.321335,,129193336.0,
Bangladesh,BGD,2021,,,169356240.0,
Benin,BEN,2000,,,6998022.0,
Benin,BEN,2021,,,12996901.0,
Burkina Faso,BFA,2000,,,11882896.0,
Burkina Faso,BFA,2021,,,22100690.0,
Burundi,BDI,2000,,,6307665.0,
Burundi,BDI,2021,,,12551215.0,
Cameroon,CMR,2000,,,15091598.0,
Cameroon,CMR,2021,,,27198632.0,
Chad,TCD,2000,,,8259144.0,
Chad,TCD,2021,,,17179744.0,
China,CHN,2000,,,1264099072.0,
China,CHN,2021,,,1425893504.0,
Congo,COG,2000,,,3134034.0,
Congo,COG,2021,,,5835814.0,
Cote d'Ivoire,CIV,2000,,,16799664.0,
Cote d'Ivoire,CIV,2021,,,27478250.0,
Democratic Republic of Congo,COD,2000,,,48616328.0,
Democratic Republic of Congo,COD,2021,,,95894120.0,
Eswatini,SWZ,2000,56.133385,,1030504.0,
Eswatini,SWZ,2021,,,1192273.0,
Ethiopia,ETH,2000,,,67031872.0,
Ethiopia,ETH,2021,,,120283024.0,
Europe,,2000,,,727917165.0,
Europe,,2021,,,746417727.0,
Ghana,GHA,2000,,,19665506.0,
Ghana,GHA,2021,,,32833036.0,
Haiti,HTI,2000,,,8360224.0,
Haiti,HTI,2021,,,11447575.0,
India,IND,2021,11.89916,,1407563904.0,
India,IND,2000,,,1059633664.0,
Indonesia,IDN,2000,43.60342,,214072416.0,
Indonesia,IDN,2021,3.547444,,273753184.0,
Iraq,IRQ,2000,,,24628860.0,
Iraq,IRQ,2021,,,43533592.0,
Laos,LAO,2000,,,5430862.0,
Laos,LAO,2021,,,7425055.0,
Lesotho,LSO,2000,,,1998632.0,
Lesotho,LSO,2021,,,2281464.0,
Liberia,LBR,2000,,,2895229.0,
Liberia,LBR,2021,,,5193422.0,
Madagascar,MDG,2021,,65.709274,28915652.0,
Madagascar,MDG,2000,,,16216432.0,
Malawi,MWI,2000,,,11229380.0,
Malawi,MWI,2021,,,19889742.0,
Mali,MLI,2000,,,11239103.0,
Mali,MLI,2021,,,21904990.0,
Morocco,MAR,2000,7.9340315,,28554420.0,
Morocco,MAR,2021,,,37076588.0,
Nepal,NPL,2000,,,24559504.0,
Nepal,NPL,2021,,,30034988.0,
Nicaragua,NIC,2000,,,5123223.0,
Nicaragua,NIC,2021,,,6850546.0,
Niger,NER,2000,,,11622673.0,
Niger,NER,2021,,,25252722.0,
Nigeria,NGA,2021,,33.044067,213401328.0,
Nigeria,NGA,2000,,,122851984.0,
North America,,2000,,,486364446.0,
North America,,2021,,,597123384.0,
Pakistan,PAK,2000,,,154369920.0,
Pakistan,PAK,2021,,,231402112.0,
Rwanda,RWA,2000,75.21361,,8109994.0,
Rwanda,RWA,2021,,,13461891.0,
Senegal,SEN,2000,,,9704291.0,
Senegal,SEN,2021,,,16876726.0,
Serbia,SRB,2000,,,7935023.0,
Serbia,SRB,2021,,,7296771.0,
Sierra Leone,SLE,2000,,,4584074.0,
Sierra Leone,SLE,2021,,,8420642.0,
South America,,2000,,,349634344.0,
South America,,2021,,,434254167.0,
Sudan,SDN,2000,,,26298778.0,
Sudan,SDN,2021,,,45657204.0,
Tanzania,TZA,2000,84.03533,,34463704.0,
Tanzania,TZA,2021,,,63588332.0,
Yemen,YEM,2000,,,18628704.0,
Yemen,YEM,2021,,,32981644.0,
Zambia,ZMB,2000,,,9891140.0,
Zambia,ZMB,2021,,,19473132.0,
Zimbabwe,ZWE,2000,,,11834679.0,
Zimbabwe,ZWE,2021,,,15993525.0,
