Entity,Code,Year,Average weekly hours worked per person by demographic group (Ramey and Francis (2009))
Ages 14+ (female),,1900,9.6000004
Ages 14+ (female),,1920,10.9
Ages 14+ (female),,1940,10.0
Ages 14+ (female),,1960,11.5
Ages 14+ (female),,1980,14.6
Ages 14+ (female),,2005,18.9
Ages 14+ (male),,1900,44.799999
Ages 14+ (male),,1920,44.0
Ages 14+ (male),,1940,34.099998
Ages 14+ (male),,1960,32.099998
Ages 14+ (male),,1980,26.700001
Ages 14+ (male),,2005,27.299999
Ages 14+ (total),,1900,27.700001
Ages 14+ (total),,1920,27.799999
Ages 14+ (total),,1940,22.0
Ages 14+ (total),,1960,21.4
Ages 14+ (total),,1980,20.4
Ages 14+ (total),,2005,23.0
