Entity,Code,Year,Manufactures exports (% of merchandise exports)
Bosnia and Herzegovina,BIH,2010,54.692467
Bosnia and Herzegovina,BIH,2021,70.60984
Botswana,BWA,2000,89.54372
Botswana,BWA,2010,77.76762
Botswana,BWA,2021,94.78171
El Salvador,SLV,1970,28.666277
El Salvador,SLV,1980,35.37309
El Salvador,SLV,2000,20.595701
El Salvador,SLV,2010,71.50836
El Salvador,SLV,2021,75.37056
Greece,GRC,1962,10.902395
Greece,GRC,1970,34.563652
Greece,GRC,1980,47.345867
Greece,GRC,1990,52.96325
Greece,GRC,2000,49.444183
Greece,GRC,2010,40.450058
Greece,GRC,2021,38.777573
Kyrgyzstan,KGZ,2000,18.249023
Kyrgyzstan,KGZ,2010,18.602676
Kyrgyzstan,KGZ,2021,38.898834
