Entity,Code,Year,Deaths - Road injuries - Sex: Both - Age: 15-49 years (Rate)
Canada,CAN,1990,18.98
Canada,CAN,1995,14.99
Canada,CAN,2000,12.39
Canada,CAN,2005,11.15
Canada,CAN,2010,8.49
Canada,CAN,2015,7.26
Canada,CAN,2019,7.26
Denmark,DNK,1990,14.75
Denmark,DNK,1995,13.09
Denmark,DNK,2000,11.42
Denmark,DNK,2005,8.71
Denmark,DNK,2010,6.01
Denmark,DNK,2015,4.3
Denmark,DNK,2019,4.81
Germany,DEU,1990,18.63
Germany,DEU,1995,16.13
Germany,DEU,2000,12.43
Germany,DEU,2005,8.45
Germany,DEU,2010,6.27
Germany,DEU,2015,5.08
Germany,DEU,2019,5.41
Netherlands,NLD,1990,11.55
Netherlands,NLD,1995,10.03
Netherlands,NLD,2000,9.08
Netherlands,NLD,2005,6.22
Netherlands,NLD,2010,4.48
Netherlands,NLD,2015,3.65
Netherlands,NLD,2019,3.8
Sweden,SWE,1990,11.6
Sweden,SWE,1995,8.37
Sweden,SWE,2000,7.53
Sweden,SWE,2005,6.16
Sweden,SWE,2010,4.6
Sweden,SWE,2015,3.86
Sweden,SWE,2019,3.5
United Kingdom,GBR,1990,11.75
United Kingdom,GBR,1995,9.37
United Kingdom,GBR,2000,8.4
United Kingdom,GBR,2005,7.21
United Kingdom,GBR,2010,5.44
United Kingdom,GBR,2015,4.38
United Kingdom,GBR,2019,4.43
United States,USA,1990,23.89
United States,USA,1995,21.39
United States,USA,2000,20.46
United States,USA,2005,20.06
United States,USA,2010,15.43
United States,USA,2015,14.65
United States,USA,2019,13.9
