Entity,Code,Year,Low-carbon electricity per capita - kWh
China,CHN,1980,59.265884
China,CHN,1990,109.91725
China,CHN,2000,191.67802
China,CHN,2010,638.72235
China,CHN,2022,2165.655
Germany,DEU,1990,2161.6428
Germany,DEU,2000,2514.7244
Germany,DEU,2010,3021.7
Germany,DEU,2022,3353.611
India,IND,1980,83.07601
India,IND,1990,83.70344
India,IND,2000,90.6351
India,IND,2010,133.55487
India,IND,2022,301.34637
Japan,JPN,1965,765.01416
Japan,JPN,1970,761.01416
Japan,JPN,1980,1462.0669
Japan,JPN,1990,2367.3386
Japan,JPN,2000,3313.3848
Japan,JPN,2010,3205.0942
Japan,JPN,2022,2248.4565
Spain,ESP,1965,613.0727
Spain,ESP,1970,850.54065
Spain,ESP,1980,936.1548
Spain,ESP,1990,2064.804
Spain,ESP,2000,2373.4924
Spain,ESP,2010,3430.33
Spain,ESP,2022,3761.0415
World,OWID_WRL,1965,289.6885
World,OWID_WRL,1970,346.1681
World,OWID_WRL,1980,561.0479
World,OWID_WRL,1990,805.21954
World,OWID_WRL,2000,874.7436
World,OWID_WRL,2010,985.71875
World,OWID_WRL,2022,1391.9579
