Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: Age-standardized (Rate),Gini coefficient,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,114.7,,32353592.0,
Asia,,2019,,,4627738749.0,
Belarus,BLR,2019,126.28,0.25277847,9673971.0,
Bolivia,BOL,2019,167.12,0.41644758,11777318.0,
Botswana,BWA,2019,157.95,,2499705.0,
Brazil,BRA,2019,114.52,0.5348577,211782880.0,
Burkina Faso,BFA,2019,108.27,,20951638.0,
Cameroon,CMR,2019,121.92,,25782342.0,
China,CHN,2019,140.92,0.38168344,1421864064.0,
Colombia,COL,2019,93.52,0.5133497,50187404.0,
East Timor,TLS,2019,103.44,,1280442.0,
Egypt,EGY,2019,90.68,0.31893557,105618672.0,
Eswatini,SWZ,2019,172.64,,1169620.0,
Europe,,2019,,,747418251.0,
Finland,FIN,2019,114.95,0.27737328,5521539.0,
Germany,DEU,2019,140.45,0.31719428,83148144.0,
India,IND,2019,83.32,0.3502112,1383112064.0,
Indonesia,IDN,2019,112.25,0.37610123,269582880.0,
Iran,IRN,2019,95.78,0.4093597,86564208.0,
Italy,ITA,2019,129.14,0.34587252,59727936.0,
Kiribati,KIR,2019,183.97,0.27832702,124252.0,
Lesotho,LSO,2019,179.78,,2225710.0,
Maldives,MDV,2019,74.45,0.2928509,504518.0,
Marshall Islands,MHL,2019,163.18,0.35482943,44750.0,
Mexico,MEX,2019,92.74,,125085312.0,
Mongolia,MNG,2019,284.33,,3232435.0,
Myanmar,MMR,2019,117.41,,53040212.0,
Namibia,NAM,2019,114.07,,2446648.0,
North America,,2019,,,590497015.0,
North Macedonia,MKD,2019,174.55,0.33505884,2114175.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,153.52,,223293280.0,
Poland,POL,2019,175.21,0.30239472,38493600.0,
Romania,ROU,2019,148.34,0.348042,19524212.0,
Russia,RUS,2019,128.45,0.37691438,145742288.0,
Saint Lucia,LCA,2019,145.65,,178594.0,
Slovakia,SVK,2019,152.85,0.23232324,5453932.0,
South Africa,ZAF,2019,128.24,,58087060.0,
South America,,2019,,,428318218.0,
Sri Lanka,LKA,2019,76.81,0.37663776,21649664.0,
Thailand,THA,2019,115.72,0.34855723,71307768.0,
Tonga,TON,2019,160.85,,104965.0,
Turkey,TUR,2019,121.3,0.41909108,83481688.0,
Ukraine,UKR,2019,136.96,0.26619467,44211100.0,
United States,USA,2019,137.37,0.41535568,334319680.0,
Uruguay,URY,2019,183.88,0.39676544,3428412.0,
Yemen,YEM,2019,93.13,,31546694.0,
Zambia,ZMB,2019,137.6,,18380478.0,
Zimbabwe,ZWE,2019,180.93,0.5025645,15354606.0,
