Entity,Code,Year,15.2.1 - Forest area under an independently verified forest management certification scheme (thousands of hectares) - AG_LND_FRSTCERT
Chile,CHL,2000,0.0
Chile,CHL,2005,2109740.0
Chile,CHL,2010,2433370.0
Chile,CHL,2015,2394650.0
Chile,CHL,2020,2335640.0
Chile,CHL,2022,2339060.0
China,CHN,2000,0.0
China,CHN,2005,435450.0
China,CHN,2010,1377750.0
China,CHN,2015,7078760.0
China,CHN,2020,3098080.0
China,CHN,2022,2316030.0
India,IND,2000,0.0
India,IND,2005,0.0
India,IND,2010,680.0
India,IND,2015,818470.0
India,IND,2020,547890.0
India,IND,2022,581490.0
Indonesia,IDN,2000,204840.0
Indonesia,IDN,2005,92270.0
Indonesia,IDN,2010,1105450.0
Indonesia,IDN,2015,2756040.0
Indonesia,IDN,2020,7083650.0
Indonesia,IDN,2022,6945510.0
Lithuania,LTU,2000,0.0
Lithuania,LTU,2005,1005530.0
Lithuania,LTU,2010,1033200.0
Lithuania,LTU,2015,1073220.0
Lithuania,LTU,2020,1214410.0
Lithuania,LTU,2022,1274550.0
San Marino,SMR,2000,0.0
San Marino,SMR,2005,0.0
San Marino,SMR,2010,0.0
San Marino,SMR,2015,0.0
San Marino,SMR,2020,0.0
San Marino,SMR,2022,0.0
