Entity,Code,Year,Apples | 00000515 || Production | 005510 || tonnes
China (FAO),,1961,167000.0
China (FAO),,1970,798000.0
China (FAO),,1980,2382996.0
China (FAO),,1990,4331922.0
China (FAO),,2000,20437064.0
China (FAO),,2010,33265186.0
China (FAO),,2021,45984856.0
Eastern Asia (FAO),,1961,1292270.0
Eastern Asia (FAO),,1970,2146041.0
Eastern Asia (FAO),,1980,4213143.0
Eastern Asia (FAO),,1990,6658869.0
Eastern Asia (FAO),,2000,22378344.0
Eastern Asia (FAO),,2010,35224284.0
Eastern Asia (FAO),,2021,48041016.0
Ecuador,ECU,1961,2000.0
Ecuador,ECU,1970,4752.0
Ecuador,ECU,1980,30899.0
Ecuador,ECU,1990,33224.0
Ecuador,ECU,2000,3873.0
Ecuador,ECU,2010,9072.74
Ecuador,ECU,2021,7191.7
Land Locked Developing Countries (FAO),,1961,35300.0
Land Locked Developing Countries (FAO),,1970,50274.0
Land Locked Developing Countries (FAO),,1980,40261.0
Land Locked Developing Countries (FAO),,1990,66605.0
Land Locked Developing Countries (FAO),,2000,1358065.8
Land Locked Developing Countries (FAO),,2010,1875062.5
Land Locked Developing Countries (FAO),,2021,3441122.8
Oceania,,1961,369434.0
Oceania,,1970,564470.0
Oceania,,1980,510212.0
Oceania,,1990,680403.0
Oceania,,2000,939652.0
Oceania,,2010,708554.6
Oceania,,2021,852197.1
Zimbabwe,ZWE,1961,1200.0
Zimbabwe,ZWE,1970,2500.0
Zimbabwe,ZWE,1980,3646.0
Zimbabwe,ZWE,1990,6345.0
Zimbabwe,ZWE,2000,6200.0
Zimbabwe,ZWE,2010,6825.61
Zimbabwe,ZWE,2021,6640.31
