Entity,Code,Year,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Births attended by skilled health staff (% of total),Continent
Afghanistan,AFG,2017,638.0,53.4,
Antigua and Barbuda,ATG,2017,42.0,100.0,
Bangladesh,BGD,2017,173.0,67.8,
Bhutan,BTN,2017,183.0,96.4,
Burundi,BDI,2017,548.0,85.1,
Colombia,COL,2017,83.0,99.3,
Ghana,GHA,2017,308.0,78.1,
Guatemala,GTM,2017,95.0,69.6,
Haiti,HTI,2017,480.0,41.6,
Honduras,HND,2017,65.0,74.0,
Indonesia,IDN,2017,177.0,90.9,
Italy,ITA,2017,2.0,99.9,
Laos,LAO,2017,185.0,64.4,
Nepal,NPL,2017,186.0,58.0,
Nigeria,NGA,2017,917.0,43.0,
Paraguay,PRY,2017,129.0,97.3,
Peru,PER,2017,88.0,93.6,
Philippines,PHL,2017,121.0,84.4,
Senegal,SEN,2017,315.0,68.4,
Sierra Leone,SLE,2017,1120.0,81.6,
Togo,TGO,2017,396.0,69.4,
