Entity,Code,Year,Net official development assistance and official aid received (constant 2020 US$)
Afghanistan,AFG,1960,116770000.0
Afghanistan,AFG,1970,164380000.0
Afghanistan,AFG,1980,66430000.0
Afghanistan,AFG,1990,194040000.0
Afghanistan,AFG,2000,215800000.0
Afghanistan,AFG,2010,6424490000.0
Afghanistan,AFG,2019,4339980000.0
Bahamas,BHS,1960,-400000.0
Bahamas,BHS,1970,519999.97
Bahamas,BHS,1980,3250000.0
Bahamas,BHS,1990,4740000.0
Bahamas,BHS,2000,7730000.0
Bangladesh,BGD,1980,2836090000.0
Bangladesh,BGD,1990,2616520000.0
Bangladesh,BGD,2000,1343840000.0
Bangladesh,BGD,2010,1318810100.0
Bangladesh,BGD,2019,4527920000.0
Botswana,BWA,1960,34110000.0
Botswana,BWA,1970,93810000.0
Botswana,BWA,1980,238740000.0
Botswana,BWA,1990,221160000.0
Botswana,BWA,2000,44180000.0
Botswana,BWA,2010,161650000.0
Botswana,BWA,2019,68650000.0
Dominica,DMA,1980,41230000.0
Dominica,DMA,1990,28400000.0
Dominica,DMA,2000,19670000.0
Dominica,DMA,2010,31150000.0
Dominica,DMA,2019,52410000.0
Gabon,GAB,1960,190000.0
Gabon,GAB,1970,159770000.0
Gabon,GAB,1980,116190000.0
Gabon,GAB,1990,188420000.0
Gabon,GAB,2000,20380000.0
Gabon,GAB,2010,98290000.0
Gabon,GAB,2019,121510000.0
Indonesia,IDN,1960,804800000.0
Indonesia,IDN,1970,3008919800.0
Indonesia,IDN,1980,2156120000.0
Indonesia,IDN,1990,2175080200.0
Indonesia,IDN,2000,1953339900.0
Indonesia,IDN,2010,1288870000.0
Indonesia,IDN,2019,-605970000.0
