Entity,Code,Year,Per capita electricity - kWh
Azerbaijan,AZE,1985,3004.1455
Azerbaijan,AZE,1990,3116.9224
Azerbaijan,AZE,1995,2160.385
Azerbaijan,AZE,2000,2156.1985
Azerbaijan,AZE,2005,2322.0234
Azerbaijan,AZE,2010,1922.6599
Azerbaijan,AZE,2015,2361.2346
Azerbaijan,AZE,2020,2371.4255
Azerbaijan,AZE,2022,2802.8945
Burkina Faso,BFA,2000,26.929462
Burkina Faso,BFA,2005,35.312428
Burkina Faso,BFA,2010,39.70999
Burkina Faso,BFA,2015,76.39696
Burkina Faso,BFA,2020,76.19886
Djibouti,DJI,2000,242.57256
Djibouti,DJI,2005,288.8563
Djibouti,DJI,2010,391.64236
Djibouti,DJI,2015,168.9414
Djibouti,DJI,2020,45.864742
Kosovo,OWID_KOS,2000,1623.4381
Kosovo,OWID_KOS,2005,2443.7634
Kosovo,OWID_KOS,2010,2884.1448
Kosovo,OWID_KOS,2015,3473.3237
Kosovo,OWID_KOS,2020,4010.29
Kosovo,OWID_KOS,2022,4163.35
Kuwait,KWT,1985,8161.539
Kuwait,KWT,1990,11031.426
Kuwait,KWT,1995,14332.77
Kuwait,KWT,2000,15706.156
Kuwait,KWT,2005,18390.371
Kuwait,KWT,2010,18227.443
Kuwait,KWT,2015,16424.709
Kuwait,KWT,2020,15351.624
Kuwait,KWT,2022,17201.209
Laos,LAO,2000,668.4022
Laos,LAO,2005,599.6956
Laos,LAO,2010,1322.0682
Laos,LAO,2015,2361.7224
Laos,LAO,2020,5366.562
Liberia,LBR,2000,69.07916
Liberia,LBR,2005,61.230877
Liberia,LBR,2010,62.189705
Liberia,LBR,2015,62.874947
Liberia,LBR,2020,174.93544
Nauru,NRU,2000,2884.6155
Nauru,NRU,2005,2902.196
Nauru,NRU,2010,1948.9379
Nauru,NRU,2015,2676.8984
Nauru,NRU,2020,3241.754
