Entity,Code,Year,Annual number of fires,Annual area burnt per wildfire,Continent
Afghanistan,AFG,2024,9.0,697.5,
Africa,,2024,126495.0,3998.2583,
Albania,ALB,2024,2.0,257.5,
Algeria,DZA,2024,16.0,1329.5,
Angola,AGO,2024,251.0,2616.992,
Argentina,ARG,2024,742.0,3527.2651,
Armenia,ARM,2024,2.0,356.0,
Asia,,2024,27475.0,3608.091,
Australia,AUS,2024,2449.0,5659.623,
Austria,AUT,2024,1.0,329.0,
Bahamas,BHS,2024,7.0,1954.75,
Belarus,BLR,2024,2.0,152.0,
Belize,BLZ,2024,67.0,2289.2744,
Benin,BEN,2024,1158.0,3479.0242,
Bhutan,BTN,2024,4.0,1529.0,
Bosnia and Herzegovina,BIH,2024,36.0,1205.3044,
Botswana,BWA,2024,92.0,5159.018,
Brazil,BRA,2024,3861.0,4113.1685,
Bulgaria,BGR,2024,17.0,687.8182,
Cambodia,KHM,2024,6775.0,3555.675,
Canada,CAN,2024,177.0,1720.8036,
Central African Republic,CAF,2024,21582.0,4263.1826,
Chile,CHL,2024,162.0,4299.3384,
China,CHN,2024,1508.0,2740.0417,
Cuba,CUB,2024,940.0,2641.6582,
Dominica,DMA,2024,1.0,109.0,
Dominican Republic,DOM,2024,95.0,1725.8975,
Ecuador,ECU,2024,37.0,25780.234,
Equatorial Guinea,GNQ,2024,13.0,1927.0,
Europe,,2024,1493.0,1937.5585,
French Guiana,GUF,2024,3.0,516.0,
Guatemala,GTM,2024,507.0,2593.363,
India,IND,2024,3197.0,2841.02,
Iraq,IRQ,2024,150.0,2551.6296,
Italy,ITA,2024,5.0,659.0,
Kosovo,OWID_KOS,2024,1.0,183.0,
Mauritania,MRT,2024,44.0,5119.6,
Moldova,MDA,2024,6.0,160.83333,
Niger,NER,2024,77.0,3519.4106,
North America,,2024,9270.0,2750.1912,
Oceania,,2024,2525.0,5523.4346,
Peru,PER,2024,67.0,1695.1068,
Russia,RUS,2024,864.0,1801.2587,
Somalia,SOM,2024,23.0,2327.9,
South Africa,ZAF,2024,491.0,4554.649,
South America,,2024,31087.0,3843.5386,
Sri Lanka,LKA,2024,12.0,472.0857,
Sudan,SDN,2024,2677.0,3678.9233,
Taiwan,TWN,2024,3.0,345.0,
Ukraine,UKR,2024,326.0,1151.4666,
Zambia,ZMB,2024,170.0,3048.2866,
