Entity,Code,Year,Change in global mean surface temperature caused by greenhouse gas emissions from fossil fuels and industry
China,CHN,1851,1.3013852e-05
China,CHN,1860,5.2867257e-05
China,CHN,1880,-2.2532828e-05
China,CHN,1900,0.00042189236
China,CHN,1920,0.0014585273
China,CHN,1940,0.0031164582
China,CHN,1960,0.007839362
China,CHN,1980,0.024469823
China,CHN,2000,0.06040771
China,CHN,2021,0.16334566
European Union (28),,1851,0.000141166
European Union (28),,1860,0.00171417
European Union (28),,1880,0.00777866
European Union (28),,1900,0.017807536
European Union (28),,1920,0.03294483
European Union (28),,1940,0.04784067
European Union (28),,1960,0.06985883
European Union (28),,1980,0.11712246
European Union (28),,2000,0.15760621
European Union (28),,2021,0.18825418
United Kingdom,GBR,1851,8.0813465e-05
United Kingdom,GBR,1860,0.00091129506
United Kingdom,GBR,1880,0.003884983
United Kingdom,GBR,1900,0.007874014
United Kingdom,GBR,1920,0.012981602
United Kingdom,GBR,1940,0.016901307
United Kingdom,GBR,1960,0.022736618
United Kingdom,GBR,1980,0.02919998
United Kingdom,GBR,2000,0.03409695
United Kingdom,GBR,2021,0.0363235
United States,USA,1851,5.8091362e-05
United States,USA,1860,0.0006887156
United States,USA,1880,0.0027984348
United States,USA,1900,0.007868273
United States,USA,1920,0.022809282
United States,USA,1940,0.039859693
United States,USA,1960,0.06890827
United States,USA,1980,0.1183215
United States,USA,2000,0.16866794
United States,USA,2021,0.21983296
