Entity,Code,Year,"Children in employment, work only (% of children in employment, ages 7-14)","Average working hours of children, study and work, ages 7-14 (hours per week)",Population (historical estimates),Continent
Afghanistan,AFG,2016,,,34636212.0,
Africa,,2016,,,1232111820.0,
Asia,,2016,,,4502955714.0,
Bangladesh,BGD,2016,,,159784576.0,
Bolivia,BOL,2016,,,11263016.0,
Brazil,BRA,2016,,,206859584.0,
Cambodia,KHM,2016,,,15624586.0,
Cameroon,CMR,2016,,,23711626.0,
Chad,TCD,2016,,,14592587.0,
Chile,CHL,2016,,,18083880.0,
Congo,COG,2016,,,5186830.0,
Cote d'Ivoire,CIV,2016,,,24213620.0,
Democratic Republic of Congo,COD,2016,,,81430976.0,
El Salvador,SLV,2016,,,6250513.0,
Ethiopia,ETH,2016,,,105293232.0,
Europe,,2016,,,744516175.0,
Gambia,GMB,2016,,,2317212.0,
Guinea,GIN,2016,,,11930991.0,
Haiti,HTI,2016,,,10713845.0,
Honduras,HND,2016,,,9460798.0,
Iraq,IRQ,2016,,,38697940.0,
Jordan,JOR,2016,20.02,15.54,9964659.0,
Kyrgyzstan,KGZ,2016,,,6018303.0,
Mali,MLI,2016,,,18700108.0,
Mexico,MEX,2016,,,121519224.0,
Niger,NER,2016,,,20921748.0,
Nigeria,NGA,2016,,,188666928.0,
North America,,2016,,,576008328.0,
Pakistan,PAK,2016,,,213524848.0,
Paraguay,PRY,2016,,,6266623.0,
Peru,PER,2016,,,31132776.0,
Philippines,PHL,2016,,,104875272.0,
Senegal,SEN,2016,,,14751356.0,
South America,,2016,,,417101806.0,
Sudan,SDN,2016,,,39377168.0,
Tanzania,TZA,2016,,,54401804.0,
Tunisia,TUN,2016,,,11685666.0,
Uganda,UGA,2016,,,38748308.0,
Ukraine,UKR,2016,,,44833568.0,
Venezuela,VEN,2016,,,30741464.0,
Vietnam,VNM,2016,,,93126528.0,
