Entity,Code,Year,Share of the urban population using improved water sources,Share of the rural population using improved water sources,Population (historical estimates),Continent
Angola,AGO,2022,81.30199,36.548714,,
Benin,BEN,2022,79.29009,71.52833,,
Central African Republic,CAF,2022,83.72638,47.165127,,
Chad,TCD,2022,91.25455,56.07107,,
China,CHN,2022,98.6839,97.15673,,
Cote d'Ivoire,CIV,2022,90.37346,70.787056,,
Democratic Republic of Congo,COD,2022,89.68694,32.10813,,
Djibouti,DJI,2022,99.65012,59.342342,,
Ethiopia,ETH,2022,97.35292,74.28518,,
Gambia,GMB,2022,93.03878,88.935875,,
Guinea-Bissau,GNB,2022,91.56566,64.42228,,
Ireland,IRL,2022,95.40668,97.039215,,
Kenya,KEN,2022,89.969444,63.983032,,
Kiribati,KIR,2022,93.79977,61.64923,,
Liberia,LBR,2022,96.19698,73.591866,,
Low-income countries,,2022,94.80922,70.17595,,
Lower-middle-income countries,,2022,97.61304,91.165344,,
Madagascar,MDG,2022,87.31162,38.52565,,
Malawi,MWI,2022,95.92524,92.029755,,
Morocco,MAR,2022,98.76395,71.33327,,
Mozambique,MOZ,2022,92.688644,60.814774,,
Myanmar,MMR,2022,93.66079,78.15532,,
Nepal,NPL,2022,93.19882,96.01408,,
Niger,NER,2022,97.44755,62.65067,,
Nigeria,NGA,2022,96.59741,69.36808,,
Oceania (SDG),,2022,93.30349,53.614395,,
Pakistan,PAK,2022,97.499596,93.60102,,
Papua New Guinea,PNG,2022,87.118515,47.23102,,
Poland,POL,2022,95.78205,82.2054,,
Senegal,SEN,2022,96.62346,81.612404,,
South Sudan,SSD,2022,88.72836,75.75801,,
Togo,TGO,2022,89.67798,67.38395,,
Upper-middle-income countries,,2022,99.09194,95.65254,,
Zimbabwe,ZWE,2022,97.871704,66.71874,,
