Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles
Fiji,FJI,1940,14.653987
Fiji,FJI,1950,12.613397
Fiji,FJI,1960,7.866156
Fiji,FJI,1970,5.6586003
Fiji,FJI,1980,4.4543977
Fiji,FJI,1990,2.9074934
Fiji,FJI,2000,2.2583244
Fiji,FJI,2010,2.3720489
Fiji,FJI,2021,2.772603
Guinea-Bissau,GNB,1990,22.283327
Guinea-Bissau,GNB,2000,17.449528
Guinea-Bissau,GNB,2010,11.435014
Guinea-Bissau,GNB,2021,7.4305315
Saint Vincent and the Grenadines,VCT,1960,17.466742
Saint Vincent and the Grenadines,VCT,1970,7.4742365
Saint Vincent and the Grenadines,VCT,1980,5.285489
Saint Vincent and the Grenadines,VCT,1990,2.3854215
Saint Vincent and the Grenadines,VCT,2000,2.2304587
Saint Vincent and the Grenadines,VCT,2010,1.9845903
Saint Vincent and the Grenadines,VCT,2021,1.3710263
San Marino,SMR,1990,1.388983
San Marino,SMR,2000,0.5600693
San Marino,SMR,2010,0.28548282
San Marino,SMR,2021,0.17172202
