Entity,Code,Year,Sovereign state
Poland,POL,1816,0
Poland,POL,1850,0
Poland,POL,1900,0
Poland,POL,1950,1
Poland,POL,2000,1
Poland,POL,2020,1
Poland,POL,2022,1
Sind,,1816,1
Sind,,1850,0
Sind,,1900,0
Sind,,1950,0
Sind,,2000,0
Sind,,2020,0
Sind,,2022,0
South Africa,ZAF,1816,0
South Africa,ZAF,1850,0
South Africa,ZAF,1900,1
South Africa,ZAF,1950,1
South Africa,ZAF,2000,1
South Africa,ZAF,2020,1
South Africa,ZAF,2022,1
United States,USA,1816,1
United States,USA,1850,1
United States,USA,1900,1
United States,USA,1950,1
United States,USA,2000,1
United States,USA,2020,1
United States,USA,2022,1
