Entity,Code,Year,Freshwater use
BRICS,,1901,301174824608
BRICS,,1920,414024531043
BRICS,,1940,485017761201
BRICS,,1960,723997762251
BRICS,,1980,1299776111351
BRICS,,2000,1703615472380
BRICS,,2010,1691729200046
OECD,,1901,117353137006
OECD,,1920,159125795521
OECD,,1940,232909936619
OECD,,1960,477603139328
OECD,,1980,887697894318
OECD,,2000,946987067393
OECD,,2010,892290587085
ROW,,1901,252779022259
ROW,,1920,311356887200
ROW,,1940,392129403039
ROW,,1960,550255792594
ROW,,1980,885963833024
ROW,,2000,1135346350550
ROW,,2010,1287866397351
