Entity,Code,Year,Period life expectancy at birth - Sex: all - Age: 0,GDP per capita,417485-annotations,Population (historical estimates),Continent
Africa,,2018,62.3435,,,1295265310.0,
Angola,AGO,2018,62.1438,7771.442,,31273538.0,
Asia,,2018,73.9909,,,4588802751.0,
Azerbaijan,AZE,2018,72.7601,16628.055,,10152524.0,
Bangladesh,BGD,2018,72.5675,4099.253,,163683952.0,
Brazil,BRA,2018,75.1095,14033.565,,210166592.0,
Burundi,BDI,2018,61.6884,651.3589,,11493476.0,
Cambodia,KHM,2018,70.5609,3628.561,,16025242.0,
Cameroon,CMR,2018,61.1798,2888.046,,25076752.0,
Cape Verde,CPV,2018,75.7331,6831.216,,571209.0,
Central African Republic,CAF,2018,54.3693,623.4889,,5094795.0,
Chad,TCD,2018,52.8253,2046.3632,,15604213.0,
Chile,CHL,2018,80.1334,22104.766,,18701452.0,
China,CHN,2018,77.7444,13101.706,,1417069440.0,
Congo,COG,2018,64.0531,5714.592,,5441061.0,
Cote d'Ivoire,CIV,2018,58.8494,3713.6436,,25493990.0,
Cuba,CUB,2018,77.4962,8325.631,,11328243.0,
Czechia,CZE,2018,79.0039,30748.508,,10534598.0,
Democratic Republic of Congo,COD,2018,59.9417,859.3817,,87087352.0,
Ecuador,ECU,2018,77.0938,10638.825,,17015672.0,
Equatorial Guinea,GNQ,2018,61.1914,28528.953,,1502102.0,
Eswatini,SWZ,2018,59.4114,8068.212,,1160430.0,
Ethiopia,ETH,2018,65.4117,1838.4904,,111129440.0,
Europe,,2018,78.7879,,,746577709.0,
France,FRA,2018,82.5909,38515.918,,64277812.0,
Germany,DEU,2018,81.1717,46177.617,,82896696.0,
Ghana,GHA,2018,64.122,4267.067,,30870648.0,
Greece,GRC,2018,81.3907,23450.766,,10633275.0,
Haiti,HTI,2018,64.0188,1729.0432,,11012427.0,
India,IND,2018,70.7095,6806.4985,,1369003264.0,
Indonesia,IDN,2018,70.3375,11851.737,,267066848.0,
Japan,JPN,2018,84.2971,38673.81,,126255872.0,
Kazakhstan,KAZ,2018,71.4717,25307.555,,18538100.0,
Kenya,KEN,2018,62.6765,3377.4705,,49953300.0,
Lesotho,LSO,2018,53.733,2731.466,,2198030.0,
Malaysia,MYS,2018,75.6444,24842.355,,32399270.0,
Mexico,MEX,2018,74.0146,16494.078,,124013864.0,
Moldova,MDA,2018,70.4916,6746.7285,,3141839.0,
Nepal,NPL,2018,68.9786,2727.4238,,28506718.0,
Niger,NER,2018,62.4544,964.6601,,22577060.0,
Nigeria,NGA,2018,52.5536,5237.662,,198387616.0,
North America,,2018,,,,585864285.0,
North Korea,PRK,2018,73.0309,1596.3517,,25638152.0,
Oceania,,2018,78.8271,,,42540030.0,
Pakistan,PAK,2018,66.482,5510.3965,,219731488.0,
Poland,POL,2018,77.6282,27455.236,,38521464.0,
Qatar,QAT,2018,80.8982,153764.17,,2766743.0,
Russia,RUS,2018,73.5306,24668.908,,145652288.0,
Sao Tome and Principe,STP,2018,68.3549,3730.2046,,211358.0,
Saudi Arabia,SAU,2018,77.2115,50304.75,,35018132.0,
South Africa,ZAF,2018,65.6743,12165.795,,57339632.0,
South America,,2018,,,,424740741.0,
Switzerland,CHE,2018,83.5615,61372.73,,8514431.0,
Tanzania,TZA,2018,66.5346,2874.963,,58090444.0,
Turkey,TUR,2018,77.5631,19270.22,,82809304.0,
Turkmenistan,TKM,2018,68.7963,26318.365,,6065072.0,
Uganda,UGA,2018,62.7139,2045.4203,,41515400.0,
Ukraine,UKR,2018,74.4122,9813.363,,44446952.0,
United States,USA,2018,78.9896,55334.74,,332140032.0,
Venezuela,VEN,2018,71.9788,10709.95,,29825652.0,
Vietnam,VNM,2018,73.9757,6814.142,,94914328.0,
Zimbabwe,ZWE,2018,61.4141,1611.4052,,15052191.0,
