Entity,Code,Year,Population by broad age group - Sex: all - Age: 0-4 - Variant: medium
Africa (UN),,2022,210416000.0
Africa (UN),,2030,231982160.0
Africa (UN),,2040,257056110.0
Africa (UN),,2050,272904300.0
Africa (UN),,2060,279807170.0
Africa (UN),,2070,282841470.0
Africa (UN),,2080,280333440.0
Africa (UN),,2090,274778500.0
Africa (UN),,2100,266914460.0
Asia (UN),,2022,343863100.0
Asia (UN),,2030,321749470.0
Asia (UN),,2040,315238180.0
Asia (UN),,2050,301291100.0
Asia (UN),,2060,275764800.0
Asia (UN),,2070,262507400.0
Asia (UN),,2080,247504350.0
Asia (UN),,2090,228717940.0
Asia (UN),,2100,213682460.0
Europe (UN),,2022,35542330.0
Europe (UN),,2030,32598548.0
Europe (UN),,2040,32198600.0
Europe (UN),,2050,31735040.0
Europe (UN),,2060,28745980.0
Europe (UN),,2070,27883996.0
Europe (UN),,2080,27521052.0
Europe (UN),,2090,25901044.0
Europe (UN),,2100,24886128.0
Latin America and the Caribbean (UN),,2022,49036640.0
Latin America and the Caribbean (UN),,2030,46461030.0
Latin America and the Caribbean (UN),,2040,43946756.0
Latin America and the Caribbean (UN),,2050,40616012.0
Latin America and the Caribbean (UN),,2060,37590400.0
Latin America and the Caribbean (UN),,2070,34988564.0
Latin America and the Caribbean (UN),,2080,32350692.0
Latin America and the Caribbean (UN),,2090,29994272.0
Latin America and the Caribbean (UN),,2100,27816868.0
Northern America (UN),,2022,20816278.0
Northern America (UN),,2030,21216230.0
Northern America (UN),,2040,21828472.0
Northern America (UN),,2050,21066976.0
Northern America (UN),,2060,20649490.0
Northern America (UN),,2070,21074508.0
Northern America (UN),,2080,20777812.0
Northern America (UN),,2090,20510588.0
Northern America (UN),,2100,20656266.0
Oceania (UN),,2022,3431978.0
Oceania (UN),,2030,3487764.0
Oceania (UN),,2040,3552035.0
Oceania (UN),,2050,3624461.0
Oceania (UN),,2060,3595398.0
Oceania (UN),,2070,3587012.0
Oceania (UN),,2080,3571679.0
Oceania (UN),,2090,3518771.0
Oceania (UN),,2100,3468216.0
