Entity,Code,Year,"Palma ratio (Disposable household income, equivalized)"
Austria,AUT,2000,0.8602217
Austria,AUT,2010,0.9848742
Austria,AUT,2020,0.93276143
Israel,ISR,2010,1.7002528
Paraguay,PRY,2000,4.127237
Paraguay,PRY,2010,3.2936885
Paraguay,PRY,2020,2.3714893
South Africa,ZAF,2010,9.174221
Sweden,SWE,1967,1.0549467
Sweden,SWE,2000,0.8684232
Sweden,SWE,2010,0.9301485
Sweden,SWE,2020,0.97902256
United Kingdom,GBR,1970,0.8661149
United Kingdom,GBR,1980,0.8994454
United Kingdom,GBR,1990,1.3115332
United Kingdom,GBR,2000,1.5363015
United Kingdom,GBR,2010,1.2194757
United Kingdom,GBR,2020,1.1181602
