Entity,Code,Year,Employment (food and beverage serving activities) per 1000 people
El Salvador,SLV,2008,2.5378585
El Salvador,SLV,2010,2.76413
El Salvador,SLV,2012,3.0837684
El Salvador,SLV,2014,3.349691
El Salvador,SLV,2016,3.7436926
El Salvador,SLV,2018,4.2700043
El Salvador,SLV,2020,4.1476407
El Salvador,SLV,2021,4.5770106
Latvia,LVA,2012,12.124842
Latvia,LVA,2014,11.735222
Latvia,LVA,2016,12.414637
Latvia,LVA,2018,13.793944
Latvia,LVA,2020,12.282183
Latvia,LVA,2021,11.313147
Martinique,MTQ,2006,7.670158
Martinique,MTQ,2012,9.97956
Martinique,MTQ,2014,10.047009
Martinique,MTQ,2018,8.814357
Martinique,MTQ,2020,8.909311
Martinique,MTQ,2021,8.947964
Turkey,TUR,2012,8.980114
Turkey,TUR,2014,9.819226
Turkey,TUR,2016,10.38023
Turkey,TUR,2018,10.928723
Turkey,TUR,2020,8.700258
Turkey,TUR,2021,8.822134
