Entity,Code,Year,"Missing Females (Bongaarts & Guilmoto, 2015)"
China,CHN,1970,27200000
China,CHN,1980,31800000
China,CHN,1990,39200000
China,CHN,2000,49500000
China,CHN,2010,62300000
China,CHN,2020,72300000
China,CHN,2030,76400000
China,CHN,2040,76600000
China,CHN,2050,73400000
India,IND,1970,21800000
India,IND,1980,27100000
India,IND,1990,33200000
India,IND,2000,38900000
India,IND,2010,43300000
India,IND,2020,45800000
India,IND,2030,46000000
India,IND,2040,43600000
India,IND,2050,40300000
Rest of World,,1970,12100000
Rest of World,,1980,13300000
Rest of World,,1990,15200000
Rest of World,,2000,17400000
Rest of World,,2010,20100000
Rest of World,,2020,24500000
Rest of World,,2030,27100000
Rest of World,,2040,28300000
Rest of World,,2050,28300000
