Entity,Code,Year,Arable land (% of land area)
Brazil,BRA,1961,2.8269448
Brazil,BRA,1970,3.3746743
Brazil,BRA,1980,5.688611
Brazil,BRA,1990,5.6639395
Brazil,BRA,2000,5.4375734
Brazil,BRA,2010,6.150292
Brazil,BRA,2020,6.67158
South Africa,ZAF,1961,9.892094
South Africa,ZAF,1970,10.094057
South Africa,ZAF,1980,10.168248
South Africa,ZAF,1990,10.551567
South Africa,ZAF,2000,11.3858
South Africa,ZAF,2010,10.331468
South Africa,ZAF,2020,9.892094
United Kingdom,GBR,1961,29.65734
United Kingdom,GBR,1970,29.355598
United Kingdom,GBR,1980,28.595049
United Kingdom,GBR,1990,27.363287
United Kingdom,GBR,2000,24.288017
United Kingdom,GBR,2010,24.67656
United Kingdom,GBR,2020,24.711702
United States,USA,1961,19.721672
United States,USA,1970,20.606598
United States,USA,1980,20.608782
United States,USA,1990,20.272608
United States,USA,2000,19.140966
United States,USA,2010,17.241638
United States,USA,2020,17.243856
