Entity,Code,Year,Same Day/Overnight visitors
Czechia,CZE,2005,1.6315398
Czechia,CZE,2010,1.5427048
Czechia,CZE,2015,1.5478957
Greece,GRC,1995,0.05745311
Greece,GRC,2000,0.03604154
Greece,GRC,2005,0.07944463
Greece,GRC,2015,0.106572315
Greece,GRC,2021,0.036790207
Mexico,MEX,1995,3.2214317
Mexico,MEX,2000,4.119568
Mexico,MEX,2005,3.7066393
Mexico,MEX,2010,2.5188494
Mexico,MEX,2015,1.71486
Mexico,MEX,2021,0.73575014
Poland,POL,1995,3.2801979
Poland,POL,2000,3.857184
Poland,POL,2005,3.2503948
Poland,POL,2010,3.6784282
Poland,POL,2015,3.6474774
Poland,POL,2021,4.2485085
