Entity,Code,Year,Annual CO₂ emissions (per capita),Per capita consumption-based CO₂ emissions
China,CHN,1990,2.1538057,2.0112135
China,CHN,1995,2.7596376,2.4577985
China,CHN,2000,2.8867998,2.5809104
China,CHN,2005,4.5077777,3.6154714
China,CHN,2010,6.394216,5.4419575
China,CHN,2015,7.0796027,6.3629246
China,CHN,2022,7.992761,
France,FRA,1990,6.974127,8.740552
France,FRA,1995,6.7303104,8.743783
France,FRA,2000,6.9292483,8.850708
France,FRA,2005,6.877385,9.11677
France,FRA,2010,6.0303707,8.059444
France,FRA,2015,5.1937885,6.620695
France,FRA,2022,4.603891,
Germany,DEU,1990,13.288876,15.055098
Germany,DEU,1995,11.586038,14.052915
Germany,DEU,2000,11.022925,13.287919
Germany,DEU,2005,10.656909,12.91943
Germany,DEU,2010,10.219843,12.568238
Germany,DEU,2015,9.724056,10.886179
Germany,DEU,2022,7.9837584,
India,IND,1990,0.66401815,0.6610749
India,IND,1995,0.7886323,0.74583066
India,IND,2000,0.92251354,0.8570621
India,IND,2005,1.026879,0.94954866
India,IND,2010,1.3520223,1.2716819
India,IND,2015,1.6889228,1.5838342
India,IND,2022,1.9966822,
United Kingdom,GBR,1990,10.521594,11.704264
United Kingdom,GBR,1995,9.773094,11.122535
United Kingdom,GBR,2000,9.669214,12.644138
United Kingdom,GBR,2005,9.4452305,12.422789
United Kingdom,GBR,2010,8.156536,10.783701
United Kingdom,GBR,2015,6.4770393,9.024856
United Kingdom,GBR,2022,4.7201805,
United States,USA,1990,20.642052,20.34809
United States,USA,1995,20.421772,20.222986
United States,USA,2000,21.282457,22.145792
United States,USA,2005,20.658026,22.651945
United States,USA,2010,18.25202,19.17141
United States,USA,2015,16.562983,17.837778
United States,USA,2022,14.949616,
