Entity,Code,Year,"Deaths that are from all causes attributed to unsafe water source per 100,000 people, in both sexes aged age-standardized","GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2019,6.6214166,2079.9219,
Albania,ALB,2019,0.12463708,13655.665,
Angola,AGO,2019,61.40908,6602.424,
Antigua and Barbuda,ATG,2019,1.4100261,23035.658,
Australia,AUS,2019,0.08515576,49379.094,
Bangladesh,BGD,2019,26.642683,5467.208,
Belize,BLZ,2019,3.1464345,9028.552,
Benin,BEN,2019,49.96617,3156.439,
Bermuda,BMU,2019,0.27590427,81681.73,
Bhutan,BTN,2019,16.410238,11797.284,
Botswana,BWA,2019,24.65342,15117.995,
Burkina Faso,BFA,2019,75.11252,2110.0623,
Burundi,BDI,2019,89.30329,729.65845,
Cambodia,KHM,2019,13.358665,4464.2944,
Cameroon,CMR,2019,57.836178,3756.5095,
Central African Republic,CAF,2019,197.63641,861.7668,
Chad,TCD,2019,141.04626,1561.9967,
Comoros,COM,2019,42.97652,3290.6506,
Cote d'Ivoire,CIV,2019,36.15572,5126.6343,
Democratic Republic of Congo,COD,2019,49.198338,1059.8921,
East Timor,TLS,2019,22.937773,3737.7964,
Equatorial Guinea,GNQ,2019,16.556208,16240.37,
Eswatini,SWZ,2019,52.924534,8501.267,
Ethiopia,ETH,2019,64.84797,2181.659,
Gambia,GMB,2019,35.247063,2083.309,
Guinea-Bissau,GNB,2019,87.83956,1890.5331,
Guyana,GUY,2019,8.284006,12820.489,
Haiti,HTI,2019,30.571714,3101.5942,
Kyrgyzstan,KGZ,2019,0.8338919,5258.3667,
Liberia,LBR,2019,60.495705,1455.6377,
Mozambique,MOZ,2019,40.839,1285.1848,
Namibia,NAM,2019,33.443092,10009.578,
Niger,NER,2019,103.69789,1217.446,
Nigeria,NGA,2019,80.09448,5076.368,
Palau,PLW,2019,7.420168,17605.48,
Serbia,SRB,2019,0.10764555,18310.08,
Somalia,SOM,2019,111.73605,1138.2859,
Tajikistan,TJK,2019,5.258183,3575.2798,
