Entity,Code,Year,Cashew nuts | 00000217 || Production | 005510 || tonnes
Africa (FAO),,1961,172050.0
Africa (FAO),,1970,345772.0
Africa (FAO),,1980,163218.0
Africa (FAO),,1990,126858.0
Africa (FAO),,2000,884749.3
Africa (FAO),,2010,1693350.8
Africa (FAO),,2021,1967199.4
Mexico,MEX,1980,316.0
Mexico,MEX,1990,168.0
Mexico,MEX,2000,1001.0
Mexico,MEX,2010,4406.0
Mexico,MEX,2021,3781.05
North America,,1961,2275.0
North America,,1970,2504.0
North America,,1980,3396.0
North America,,1990,4696.0
North America,,2000,6894.54
North America,,2010,9370.18
North America,,2021,7674.54
Thailand,THA,1961,500.0
Thailand,THA,1970,1300.0
Thailand,THA,1980,4500.0
Thailand,THA,1990,11850.0
Thailand,THA,2000,44789.0
Thailand,THA,2010,37857.0
Thailand,THA,2021,24790.82
