Entity,Code,Year,Total (reported) polio cases per million
Afghanistan,AFG,1980,65.886
Afghanistan,AFG,1985,165.938
Afghanistan,AFG,1990,3.867
Afghanistan,AFG,1995,0.0
Afghanistan,AFG,2000,5.775
Afghanistan,AFG,2005,0.351
Afghanistan,AFG,2010,1.028
Afghanistan,AFG,2015,0.581
Afghanistan,AFG,2021,1.18
Brazil,BRA,1980,11.119
Brazil,BRA,1985,2.432
Brazil,BRA,1990,0.0
Brazil,BRA,1995,0.0
Brazil,BRA,2000,0.0
Brazil,BRA,2005,0.0
Brazil,BRA,2010,0.0
Brazil,BRA,2015,0.0
Brazil,BRA,2021,0.0
India,IND,1980,27.148
India,IND,1985,28.775
India,IND,1990,11.918
India,IND,1995,3.385
India,IND,2000,0.251
India,IND,2005,0.058
India,IND,2010,0.036
India,IND,2015,0.0
India,IND,2021,0.0
Pakistan,PAK,1980,38.179
Pakistan,PAK,1985,23.419
Pakistan,PAK,1990,7.218
Pakistan,PAK,1995,4.104
Pakistan,PAK,2000,1.398
Pakistan,PAK,2005,0.175
Pakistan,PAK,2010,0.803
Pakistan,PAK,2015,0.281
Pakistan,PAK,2021,0.04
South Africa,ZAF,1980,3.922
South Africa,ZAF,1985,2.203
South Africa,ZAF,1990,0.136
South Africa,ZAF,1995,0.0
South Africa,ZAF,2000,0.0
South Africa,ZAF,2005,0.0
South Africa,ZAF,2010,0.0
South Africa,ZAF,2015,0.0
South Africa,ZAF,2021,0.0
